# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229391, 0, 0, 1, 1, 1, 1.35%, 0, 0, 1, 19.80
1585229396, 0, 0, 3, 3, 1, 1.36%, 0, 0, 2, 17.73
1585229402, 0, 0, 12, 12, 1, 1.52%, 0, 0, 2, 16.29
1585229407, 0, 0, 21, 21, 1, 1.61%, 0, 0, 2, 16.40
1585229412, 0, 0, 28, 28, 1, 1.64%, 0, 0, 2, 16.01
1585229417, 0, 0, 33, 33, 1, 1.65%, 0, 0, 2, 16.96
1585229422, 0, 0, 36, 36, 1, 1.65%, 0, 0, 2, 16.40
1585229427, 0, 0, 37, 37, 1, 1.65%, 0, 0, 2, 14.59
1585229432, 0, 0, 38, 38, 1, 1.66%, 0, 0, 2, 15.36
1585229443, 0, 0, 40, 40, 1, 1.66%, 0, 0, 2, 14.90
1585229453, 0, 0, 42, 42, 1, 1.66%, 0, 0, 2, 17.40
1585229463, 0, 0, 43, 43, 1, 1.66%, 0, 0, 2, 15.15
1585229474, 0, 0, 44, 44, 1, 1.66%, 0, 0, 2, 13.82
1585229479, 0, 0, 45, 45, 1, 1.66%, 0, 0, 2, 13.87
1585229494, 0, 0, 46, 46, 1, 1.66%, 0, 0, 2, 17.07
1585229499, 0, 0, 47, 47, 1, 1.66%, 0, 0, 2, 17.67
1585229530, 0, 0, 48, 48, 1, 1.66%, 0, 0, 2, 10.78
1585229535, 0, 0, 50, 50, 1, 1.66%, 0, 0, 2, 10.55
1585229560, 0, 9, 50, 49, 9, 1.66%, 0, 0, 2, 15.41
1585229570, 0, 9, 51, 50, 9, 1.66%, 0, 0, 3, 13.44
1585229585, 0, 19, 51, 49, 8, 1.66%, 0, 0, 3, 8.80
1585229606, 0, 21, 51, 48, 7, 1.66%, 0, 0, 3, 13.27
1585229621, 0, 21, 52, 49, 7, 1.66%, 0, 0, 3, 10.91
1585229642, 0, 26, 52, 48, 6, 1.66%, 0, 0, 3, 11.32
1585229647, 0, 32, 52, 47, 5, 1.66%, 0, 0, 3, 11.01
1585229683, 0, 37, 52, 46, 4, 1.66%, 0, 0, 3, 14.38
1585229703, 0, 37, 53, 47, 4, 1.66%, 0, 0, 3, 11.18
1585229709, 0, 39, 53, 46, 3, 1.66%, 0, 0, 3, 15.20
1585229714, 0, 40, 53, 45, 2, 1.66%, 0, 0, 3, 15.70
1585229745, 0, 43, 53, 44, 2, 1.66%, 0, 0, 3, 8.77
1585229775, 0, 45, 54, 44, 1, 1.66%, 0, 0, 3, 11.76
1585229791, 0, 45, 55, 45, 1, 1.67%, 0, 0, 3, 13.05
1585229801, 0, 49, 55, 44, 1, 1.67%, 0, 0, 3, 15.56
1585229806, 0, 49, 57, 46, 1, 1.67%, 0, 0, 3, 14.68
1585229817, 0, 49, 58, 47, 1, 1.67%, 0, 0, 3, 12.97
1585229822, 0, 49, 59, 48, 1, 1.67%, 0, 0, 3, 12.14
1585229832, 0, 49, 60, 49, 1, 1.67%, 0, 0, 3, 11.03
1585229837, 0, 49, 61, 50, 1, 1.67%, 0, 0, 3, 11.49
1585229842, 0, 54, 61, 49, 1, 1.67%, 0, 0, 3, 13.82
1585229863, 1, 0, 61, 48, 0, 1.67%, 0, 0, 3, 14.34
