# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229373, 0, 0, 1, 1, 1, 1.35%, 0, 0, 1, 21.28
1585229378, 0, 0, 4, 4, 1, 1.36%, 0, 0, 2, 21.14
1585229383, 0, 0, 11, 11, 1, 1.56%, 0, 0, 2, 20.42
1585229388, 0, 0, 17, 17, 1, 1.56%, 0, 0, 2, 20.96
1585229393, 0, 0, 22, 22, 1, 1.56%, 0, 0, 2, 19.85
1585229399, 0, 0, 28, 28, 1, 1.56%, 0, 0, 2, 18.16
1585229404, 0, 0, 29, 29, 1, 1.56%, 0, 0, 2, 17.07
1585229414, 0, 0, 32, 32, 1, 1.56%, 0, 0, 2, 16.91
1585229419, 0, 0, 38, 38, 1, 1.56%, 0, 0, 2, 16.58
1585229424, 0, 0, 40, 40, 1, 1.56%, 0, 0, 2, 14.68
1585229429, 0, 0, 43, 43, 1, 1.65%, 0, 0, 2, 14.49
1585229445, 0, 0, 44, 44, 1, 1.65%, 0, 0, 2, 14.53
1585229450, 0, 0, 45, 45, 1, 1.65%, 0, 0, 2, 15.27
1585229455, 0, 0, 47, 47, 1, 1.65%, 0, 0, 2, 17.97
1585229460, 0, 0, 48, 48, 1, 1.65%, 0, 0, 2, 16.61
1585229470, 0, 0, 50, 50, 1, 1.65%, 0, 0, 2, 14.58
1585229476, 0, 0, 51, 51, 1, 1.65%, 0, 0, 2, 14.23
1585229486, 0, 0, 53, 53, 1, 1.65%, 0, 0, 2, 15.27
1585229557, 0, 0, 54, 54, 1, 1.65%, 0, 0, 2, 17.14
1585229609, 0, 0, 55, 55, 1, 1.65%, 0, 0, 2, 13.36
1585229650, 0, 0, 56, 56, 1, 1.65%, 0, 0, 2, 11.05
1585229727, 0, 0, 57, 57, 1, 1.65%, 0, 0, 2, 11.02
1585231766, 0, 0, 58, 58, 1, 1.65%, 0, 0, 2, 8.90
1585231776, 0, 0, 60, 60, 1, 1.66%, 0, 0, 2, 8.56
1585231781, 0, 0, 61, 61, 1, 1.66%, 0, 0, 2, 7.41
1585231829, 0, 0, 63, 63, 1, 1.66%, 0, 0, 2, 7.47
1585231834, 0, 0, 64, 64, 1, 1.66%, 0, 0, 2, 9.39
1585231839, 0, 0, 65, 65, 1, 1.66%, 0, 0, 2, 13.08
1585231849, 0, 0, 66, 66, 1, 1.66%, 0, 0, 2, 11.64
1585231880, 0, 0, 67, 67, 1, 1.66%, 0, 0, 2, 12.40
1585231926, 0, 0, 68, 68, 1, 1.66%, 0, 0, 2, 8.84
1585231957, 0, 0, 69, 69, 1, 1.66%, 0, 0, 2, 9.58
1585232075, 0, 0, 70, 70, 1, 1.66%, 0, 0, 2, 10.52
1585232086, 0, 0, 71, 71, 1, 1.67%, 0, 0, 2, 9.75
1585232091, 0, 0, 72, 72, 1, 1.67%, 0, 0, 2, 11.31
1585232111, 0, 0, 73, 73, 1, 1.67%, 0, 0, 2, 10.02
1585232230, 0, 0, 74, 74, 1, 1.67%, 0, 0, 2, 9.44
1585232240, 0, 0, 75, 75, 1, 1.67%, 0, 0, 2, 8.01
1585232302, 0, 0, 76, 76, 1, 1.67%, 0, 0, 2, 13.78
1585232322, 0, 0, 77, 77, 1, 1.67%, 0, 0, 2, 14.88
1585232373, 0, 0, 78, 78, 1, 1.67%, 0, 0, 2, 11.77
1585232409, 0, 14, 78, 77, 6, 1.67%, 0, 0, 2, 11.25
1585232511, 0, 14, 79, 78, 6, 1.67%, 0, 0, 3, 13.78
1585232624, 0, 40, 79, 77, 5, 1.67%, 0, 0, 3, 8.59
1585232850, 0, 40, 80, 78, 5, 1.67%, 0, 0, 3, 7.10
1585233009, 0, 40, 81, 79, 5, 1.67%, 0, 0, 3, 7.78
1585233966, 0, 40, 82, 80, 5, 1.67%, 0, 0, 3, 10.06
1585235611, 0, 58, 82, 79, 4, 1.67%, 0, 0, 3, 6.30
1585236128, 0, 64, 82, 78, 3, 1.67%, 0, 0, 3, 6.50
1585237302, 0, 77, 82, 77, 2, 1.67%, 0, 0, 3, 8.85
1585237353, 0, 78, 82, 76, 1, 1.67%, 0, 0, 3, 9.35
1585237584, 1, 0, 82, 75, 0, 1.67%, 0, 0, 3, 9.88
1585237589, 1, 11, 82, 75, 0, 1.67%, 0, 0, 3, 8.23
1585238684, 1, 14, 82, 74, 0, 1.67%, 0, 0, 3, 8.92
1585238689, 1, 26, 82, 74, 0, 1.67%, 0, 0, 3, 9.10
1585239204, 1, 31, 82, 73, 0, 1.67%, 0, 0, 3, 11.08
1585240226, 1, 36, 82, 72, 0, 1.67%, 0, 0, 3, 10.03
1585241346, 1, 40, 82, 71, 0, 1.67%, 0, 0, 3, 10.59
1585241351, 1, 43, 82, 71, 0, 1.67%, 0, 0, 3, 11.15
1585241654, 1, 43, 83, 72, 0, 1.67%, 0, 0, 3, 8.07
1585242348, 1, 43, 84, 73, 0, 1.67%, 0, 0, 3, 10.84
1585244132, 1, 43, 85, 74, 0, 1.67%, 0, 0, 3, 11.11
1585244183, 1, 56, 85, 73, 1, 1.67%, 0, 0, 3, 7.63
1585245610, 1, 56, 86, 74, 1, 1.67%, 0, 0, 3, 2.47
1585245635, 1, 84, 86, 73, 2, 1.67%, 0, 0, 3, 8.55
1585246449, 1, 84, 87, 74, 2, 1.67%, 0, 0, 4, 9.42
1585246459, 1, 84, 88, 75, 2, 1.67%, 0, 0, 4, 8.36
1585246624, 1, 85, 88, 74, 3, 1.67%, 0, 0, 4, 10.02
1585246886, 1, 86, 88, 73, 2, 1.67%, 0, 0, 4, 7.65
1585248231, 1, 87, 88, 72, 1, 1.67%, 0, 0, 4, 8.87
1585248349, 1, 87, 90, 74, 1, 1.67%, 0, 0, 5, 8.45
1585249232, 1, 87, 91, 75, 1, 1.67%, 0, 0, 5, 10.46
1585249518, 1, 88, 91, 74, 0, 1.67%, 0, 0, 5, 5.71
1585250234, 2, 0, 91, 73, 0, 1.67%, 1, 0, 5, 6.45
1585250239, 2, 9, 91, 73, 0, 1.67%, 1, 0, 5, 6.64
1585250290, 2, 14, 91, 72, 0, 1.67%, 1, 0, 5, 6.27
1585250295, 2, 19, 91, 72, 0, 1.67%, 1, 0, 5, 9.67
1585250634, 2, 19, 91, 72, 0, 1.67%, 2, 0, 5, 8.10
1585250655, 2, 20, 91, 71, 0, 1.67%, 2, 0, 5, 8.86
1585251085, 2, 23, 91, 70, 0, 1.67%, 2, 0, 5, 10.67
1585251538, 2, 23, 92, 71, 0, 1.67%, 2, 0, 5, 9.42
1585251564, 2, 23, 92, 71, 0, 1.67%, 3, 0, 5, 10.52
1585251574, 2, 29, 92, 70, 0, 1.67%, 3, 0, 5, 11.31
1585252297, 2, 31, 92, 69, 0, 1.67%, 3, 0, 5, 6.54
1585252302, 2, 40, 92, 69, 0, 1.67%, 3, 0, 5, 6.45
1585252312, 2, 46, 92, 69, 0, 1.67%, 3, 0, 5, 6.57
1585252364, 2, 49, 92, 68, 0, 1.67%, 3, 0, 5, 6.41
1585252411, 2, 53, 92, 67, 0, 1.67%, 3, 0, 5, 6.48
1585252462, 2, 54, 92, 66, 0, 1.67%, 3, 0, 5, 6.46
1585252616, 2, 75, 92, 65, 0, 1.67%, 3, 0, 5, 5.71
1585252719, 2, 75, 93, 66, 0, 1.67%, 3, 0, 5, 10.67
1585252894, 2, 75, 94, 67, 0, 1.67%, 3, 0, 5, 10.83
1585252899, 2, 75, 95, 68, 0, 1.67%, 3, 0, 5, 9.92
1585253192, 2, 77, 95, 67, 0, 1.67%, 3, 0, 5, 6.51
1585253198, 2, 78, 95, 67, 0, 1.67%, 4, 0, 5, 6.07
1585253208, 2, 83, 95, 67, 0, 1.67%, 4, 0, 5, 6.29
1585253260, 2, 84, 95, 66, 0, 1.67%, 4, 0, 5, 6.34
1585253265, 2, 85, 95, 66, 0, 1.67%, 4, 0, 5, 6.56
1585253275, 2, 86, 95, 66, 0, 1.67%, 5, 0, 5, 6.11
1585253286, 2, 87, 95, 66, 0, 1.67%, 5, 0, 5, 6.29
1585253296, 2, 92, 95, 66, 0, 1.67%, 5, 0, 5, 6.82
1585253363, 3, 0, 95, 65, 0, 1.67%, 5, 0, 5, 6.70
1585253373, 3, 1, 95, 65, 0, 1.67%, 5, 0, 5, 6.63
1585253450, 3, 4, 95, 64, 0, 1.67%, 5, 0, 5, 6.24
1585254066, 3, 10, 95, 63, 0, 1.67%, 5, 0, 5, 6.35
1585254194, 3, 14, 95, 62, 0, 1.67%, 5, 0, 5, 6.55
1585254199, 3, 27, 95, 62, 0, 1.67%, 6, 0, 5, 6.66
1585254251, 3, 30, 95, 61, 0, 1.67%, 6, 0, 5, 6.40
1585255720, 3, 31, 95, 60, 0, 1.67%, 6, 0, 5, 6.63
1585255725, 3, 37, 95, 60, 0, 1.67%, 6, 0, 5, 6.64
1585255782, 3, 40, 95, 59, 0, 1.67%, 6, 0, 5, 6.42
1585255787, 3, 52, 95, 59, 0, 1.67%, 6, 0, 5, 6.16
1585256355, 3, 62, 95, 58, 0, 1.67%, 6, 0, 5, 6.36
1585256412, 3, 66, 95, 57, 0, 1.67%, 6, 0, 5, 6.52
1585256458, 3, 68, 95, 56, 0, 1.67%, 6, 0, 5, 6.43
1585256510, 3, 76, 95, 55, 0, 1.67%, 6, 0, 5, 6.42
1585256561, 3, 77, 95, 54, 0, 1.67%, 6, 0, 5, 6.58
1585256571, 3, 78, 95, 54, 0, 1.67%, 6, 0, 5, 6.53
1585256577, 3, 84, 95, 54, 0, 1.67%, 6, 0, 5, 6.17
1585256587, 3, 85, 95, 54, 0, 1.67%, 7, 0, 5, 8.97
1585256592, 3, 86, 95, 54, 0, 1.67%, 7, 0, 5, 10.78
1585256597, 3, 87, 95, 54, 0, 1.67%, 7, 0, 5, 10.42
1585256602, 3, 89, 95, 54, 0, 1.67%, 7, 0, 5, 10.09
1585256643, 3, 89, 96, 55, 0, 1.67%, 7, 0, 6, 10.95
1585256905, 3, 95, 96, 54, 1, 1.67%, 7, 0, 6, 6.75
1585256967, 4, 0, 96, 53, 0, 1.67%, 7, 0, 6, 6.33
1585256977, 4, 14, 96, 53, 0, 1.67%, 7, 0, 6, 6.85
1585256982, 4, 17, 96, 53, 0, 1.67%, 7, 0, 6, 6.58
