# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229395, 0, 0, 1, 1, 1, 1.13%, 0, 0, 1, 363.64
1585229400, 0, 0, 37, 37, 1, 1.35%, 0, 0, 2, 292.07
1585229405, 0, 0, 48, 48, 1, 1.35%, 0, 0, 2, 271.61
1585229411, 0, 0, 51, 51, 1, 1.35%, 0, 0, 2, 263.06
1585229416, 0, 0, 53, 53, 1, 1.35%, 0, 0, 2, 262.44
1585229421, 0, 0, 54, 54, 1, 1.35%, 0, 0, 2, 260.32
1585229431, 0, 13, 56, 55, 10, 1.35%, 0, 0, 2, 257.43
1585229436, 0, 32, 57, 54, 8, 1.35%, 0, 0, 3, 267.92
1585229441, 0, 38, 58, 53, 7, 1.35%, 0, 0, 3, 269.80
1585229446, 0, 43, 59, 53, 6, 1.35%, 0, 0, 3, 258.42
1585229451, 0, 54, 60, 50, 2, 1.35%, 0, 0, 3, 273.88
1585229456, 0, 56, 62, 51, 1, 1.35%, 0, 0, 4, 271.29
1585229461, 1, 0, 62, 49, 0, 1.35%, 0, 0, 4, 258.98
1585229466, 1, 7, 64, 50, 0, 1.35%, 0, 0, 4, 258.77
1585229471, 1, 65, 66, 50, 1, 1.35%, 0, 0, 4, 250.54
1585229476, 2, 66, 67, 50, 1, 1.35%, 0, 0, 4, 254.95
1585229481, 2, 66, 69, 52, 1, 1.35%, 0, 0, 4, 265.34
1585229492, 2, 67, 71, 53, 2, 1.35%, 0, 0, 4, 257.30
1585229497, 2, 68, 71, 52, 1, 1.35%, 0, 0, 4, 252.45
1585229502, 3, 4, 71, 51, 0, 1.35%, 0, 0, 4, 245.63
1585229507, 3, 25, 72, 51, 0, 1.35%, 0, 0, 4, 252.38
1585229512, 3, 28, 75, 53, 0, 1.35%, 0, 0, 4, 240.03
1585229517, 3, 29, 75, 52, 0, 1.35%, 0, 0, 4, 251.70
1585229522, 3, 33, 76, 51, 0, 1.35%, 0, 0, 4, 251.76
1585229527, 3, 39, 76, 50, 0, 1.35%, 0, 0, 4, 248.79
1585229532, 3, 49, 77, 50, 0, 1.35%, 0, 0, 4, 258.20
1585229538, 3, 55, 77, 49, 0, 1.35%, 0, 0, 4, 248.52
1585229543, 3, 58, 77, 48, 0, 1.35%, 0, 0, 4, 248.89
1585229548, 3, 67, 77, 47, 0, 1.35%, 0, 0, 4, 246.17
1585229553, 3, 68, 77, 47, 0, 1.35%, 0, 0, 4, 248.97
1585229558, 3, 69, 78, 48, 0, 1.35%, 0, 0, 4, 253.93
1585229563, 3, 69, 81, 51, 0, 1.35%, 0, 0, 4, 248.45
1585229568, 3, 69, 82, 52, 0, 1.35%, 0, 0, 4, 247.35
1585229578, 3, 69, 83, 53, 0, 1.35%, 0, 0, 4, 265.93
1585229583, 3, 69, 84, 54, 0, 1.35%, 0, 0, 4, 264.61
1585229594, 3, 78, 85, 54, 0, 1.35%, 0, 0, 4, 253.19
1585229609, 3, 81, 85, 53, 0, 1.35%, 0, 0, 4, 251.34
1585229619, 3, 82, 85, 52, 0, 1.35%, 0, 0, 4, 247.04
1585229634, 3, 83, 85, 51, 0, 1.35%, 0, 0, 4, 252.19
1585229644, 3, 84, 86, 51, 0, 1.35%, 0, 0, 5, 269.70
1585229660, 3, 85, 86, 50, 0, 1.35%, 0, 0, 5, 257.96
1585229665, 3, 85, 87, 51, 0, 1.35%, 0, 0, 6, 239.39
1585229670, 3, 86, 88, 51, 0, 1.35%, 0, 0, 7, 247.53
1585229675, 3, 86, 89, 52, 0, 1.35%, 0, 0, 7, 259.43
1585229695, 3, 87, 90, 52, 1, 1.35%, 0, 0, 8, 257.82
1585229710, 4, 3, 90, 50, 0, 1.35%, 0, 0, 8, 259.99
1585229715, 4, 8, 90, 49, 0, 1.35%, 0, 0, 8, 248.64
1585229720, 4, 27, 90, 47, 0, 1.35%, 0, 0, 8, 262.46
1585229725, 4, 28, 90, 47, 0, 1.35%, 0, 0, 8, 270.42
1585229730, 4, 33, 90, 46, 0, 1.35%, 0, 0, 8, 259.16
1585229735, 4, 41, 90, 45, 0, 1.35%, 0, 0, 8, 239.80
1585229740, 4, 55, 90, 43, 0, 1.35%, 0, 0, 8, 251.11
1585229745, 4, 59, 90, 43, 0, 1.35%, 0, 0, 8, 253.46
1585229750, 4, 62, 90, 42, 0, 1.35%, 0, 0, 8, 242.33
1585229756, 4, 68, 90, 41, 0, 1.35%, 0, 0, 8, 252.18
1585229761, 4, 72, 90, 41, 0, 1.35%, 0, 0, 8, 238.39
1585229766, 4, 75, 90, 39, 0, 1.35%, 0, 0, 8, 230.61
1585229771, 4, 75, 91, 40, 0, 1.35%, 0, 0, 8, 260.49
1585229776, 4, 77, 92, 40, 0, 1.35%, 0, 0, 8, 262.53
1585229791, 4, 80, 93, 40, 0, 1.35%, 0, 0, 8, 269.48
1585229801, 4, 84, 93, 39, 0, 1.35%, 0, 0, 8, 242.61
1585229806, 4, 84, 94, 40, 0, 1.35%, 0, 0, 8, 243.26
1585229816, 4, 85, 94, 40, 0, 1.35%, 0, 0, 8, 249.35
1585229821, 4, 85, 95, 41, 0, 1.35%, 0, 0, 8, 255.51
1585229831, 4, 87, 95, 41, 0, 1.35%, 0, 0, 8, 257.93
1585229842, 4, 88, 96, 42, 0, 1.35%, 0, 0, 8, 259.43
1585229857, 4, 89, 96, 41, 0, 1.35%, 0, 0, 8, 262.26
1585229872, 4, 91, 96, 40, 0, 1.35%, 0, 0, 8, 261.94
1585229877, 4, 91, 97, 41, 0, 1.35%, 0, 0, 8, 262.07
1585229902, 4, 96, 97, 40, 0, 1.35%, 0, 0, 8, 267.12
1585229928, 4, 97, 98, 40, 0, 1.35%, 0, 0, 8, 254.10
1585229938, 4, 97, 100, 42, 0, 1.35%, 0, 0, 8, 257.42
1585229958, 4, 99, 100, 41, 0, 1.35%, 0, 0, 8, 252.76
1585229988, 5, 18, 100, 40, 0, 1.35%, 0, 0, 8, 256.39
1585229993, 5, 27, 100, 37, 0, 1.35%, 0, 0, 8, 245.33
1585229998, 5, 33, 101, 38, 0, 1.35%, 6, 0, 8, 243.83
1585230003, 5, 65, 101, 38, 0, 1.35%, 8, 0, 8, 254.49
1585230009, 5, 87, 101, 38, 0, 1.35%, 9, 0, 8, 247.01
1585230019, 5, 87, 102, 39, 0, 1.35%, 9, 0, 8, 231.75
1585230024, 5, 94, 104, 41, 0, 1.35%, 10, 0, 8, 240.96
1585230059, 5, 94, 105, 42, 0, 1.35%, 10, 0, 8, 239.16
1585230070, 5, 101, 105, 41, 0, 1.35%, 10, 0, 8, 233.91
1585230085, 5, 101, 106, 42, 0, 1.35%, 10, 0, 9, 229.81
1585230095, 5, 102, 107, 42, 0, 1.35%, 10, 0, 9, 253.90
1585230100, 5, 102, 108, 43, 0, 1.35%, 10, 0, 9, 255.97
1585230120, 5, 102, 109, 44, 0, 1.35%, 10, 0, 9, 254.41
1585230141, 5, 105, 110, 44, 0, 1.35%, 10, 0, 10, 264.80
1585230151, 5, 105, 113, 47, 0, 1.35%, 10, 0, 10, 237.29
1585230166, 5, 105, 114, 48, 0, 1.35%, 10, 0, 10, 226.01
1585230171, 5, 105, 116, 50, 0, 1.35%, 10, 0, 10, 220.19
1585230197, 5, 113, 116, 49, 0, 1.35%, 10, 0, 10, 242.43
1585230202, 5, 113, 117, 50, 0, 1.35%, 10, 0, 11, 224.87
1585230207, 5, 113, 119, 52, 0, 1.35%, 10, 0, 11, 223.47
1585230247, 5, 114, 119, 51, 0, 1.35%, 10, 0, 11, 285.23
1585230282, 5, 117, 119, 50, 0, 1.35%, 10, 0, 11, 266.52
1585230293, 5, 117, 120, 51, 0, 1.35%, 10, 0, 12, 222.50
1585230333, 5, 119, 120, 50, 0, 1.35%, 10, 0, 12, 261.10
1585230343, 5, 119, 121, 51, 0, 1.35%, 10, 0, 13, 235.65
1585230348, 5, 119, 122, 52, 0, 1.35%, 10, 0, 13, 235.10
1585230353, 5, 119, 123, 53, 0, 1.35%, 10, 0, 13, 239.09
1585230374, 5, 119, 124, 54, 0, 1.35%, 10, 0, 13, 223.86
1585230389, 6, 2, 124, 53, 0, 1.35%, 10, 0, 13, 250.22
1585230394, 6, 10, 124, 51, 0, 1.35%, 10, 0, 13, 256.46
1585230399, 6, 11, 124, 50, 0, 1.35%, 10, 0, 13, 247.47
1585230404, 6, 80, 124, 49, 1, 1.35%, 10, 0, 13, 245.72
1585230419, 6, 90, 124, 49, 1, 1.35%, 10, 0, 13, 269.32
1585230440, 6, 95, 124, 48, 0, 1.35%, 10, 0, 13, 270.19
1585230475, 6, 104, 124, 47, 0, 1.35%, 10, 0, 13, 243.03
1585230485, 6, 115, 124, 46, 0, 1.35%, 10, 0, 13, 310.53
1585230490, 6, 115, 124, 46, 0, 1.35%, 11, 0, 13, 272.17
1585230516, 6, 120, 124, 45, 0, 1.35%, 11, 0, 13, 173.78
1585230546, 6, 121, 124, 44, 0, 1.35%, 11, 0, 13, 292.75
1585230577, 7, 4, 124, 43, 0, 1.35%, 11, 0, 13, 231.33
1585230582, 7, 16, 124, 43, 0, 1.35%, 11, 0, 13, 255.13
1585230587, 7, 27, 124, 41, 0, 1.35%, 11, 0, 13, 253.30
1585230592, 7, 34, 124, 41, 0, 1.35%, 11, 0, 13, 253.48
1585230597, 7, 46, 124, 40, 0, 1.35%, 11, 0, 13, 247.00
1585230603, 7, 51, 124, 39, 0, 1.35%, 11, 0, 13, 256.11
1585230608, 7, 61, 124, 37, 0, 1.35%, 11, 0, 13, 241.30
1585230613, 7, 65, 124, 36, 0, 1.35%, 11, 0, 13, 233.04
1585230618, 7, 87, 124, 36, 0, 1.35%, 11, 0, 13, 239.01
