# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229380, 0, 0, 1, 1, 1, 1.13%, 0, 0, 1, 400.00
1585229385, 0, 0, 48, 48, 1, 1.33%, 0, 0, 2, 406.71
1585229390, 0, 0, 49, 49, 1, 1.33%, 0, 0, 2, 359.48
1585229395, 0, 0, 51, 51, 1, 1.33%, 0, 0, 2, 243.22
1585229472, 0, 0, 61, 61, 1, 1.34%, 0, 0, 2, 245.57
1585229477, 0, 0, 65, 65, 1, 1.34%, 0, 0, 2, 271.50
1585229482, 0, 0, 70, 70, 1, 1.34%, 0, 0, 2, 271.82
1585229487, 0, 0, 73, 73, 1, 1.34%, 0, 0, 2, 270.95
1585229492, 0, 0, 77, 77, 1, 1.35%, 0, 0, 2, 266.91
1585229497, 0, 0, 78, 78, 1, 1.35%, 0, 0, 2, 254.49
1585229512, 0, 0, 79, 79, 1, 1.35%, 0, 0, 2, 265.33
1585229522, 0, 0, 80, 80, 1, 1.35%, 0, 0, 2, 255.78
1585229548, 0, 0, 81, 81, 1, 1.35%, 0, 0, 2, 259.46
1585229558, 0, 0, 83, 83, 1, 1.35%, 0, 0, 2, 259.18
1585229578, 0, 0, 84, 84, 1, 1.35%, 0, 0, 2, 263.23
1585229598, 0, 43, 84, 83, 11, 1.35%, 0, 0, 2, 317.97
1585229604, 0, 43, 85, 84, 11, 1.35%, 0, 0, 3, 321.91
1585229695, 0, 46, 85, 83, 10, 1.35%, 0, 0, 3, 172.96
1585229842, 0, 51, 85, 82, 9, 1.35%, 0, 0, 3, 155.79
1585229852, 0, 52, 85, 81, 8, 1.35%, 0, 0, 3, 204.92
1585229913, 0, 54, 85, 80, 7, 1.35%, 0, 0, 3, 276.32
1585229918, 0, 62, 85, 78, 5, 1.35%, 0, 0, 3, 294.99
1585229949, 0, 62, 86, 79, 5, 1.35%, 0, 0, 3, 347.67
1585229995, 0, 63, 86, 78, 5, 1.35%, 0, 0, 3, 287.60
1585230015, 0, 63, 87, 79, 5, 1.35%, 0, 0, 3, 349.69
1585230081, 0, 71, 87, 78, 4, 1.35%, 0, 0, 3, 234.53
1585230116, 0, 71, 90, 81, 4, 1.35%, 0, 0, 3, 228.32
1585230122, 0, 71, 91, 82, 4, 1.35%, 0, 0, 3, 230.34
1585230132, 0, 71, 92, 83, 4, 1.35%, 0, 0, 3, 218.38
1585230264, 0, 73, 92, 82, 4, 1.35%, 0, 0, 3, 269.10
1585230269, 0, 81, 92, 81, 3, 1.35%, 0, 0, 3, 177.02
1585230290, 0, 85, 92, 80, 2, 1.35%, 0, 0, 3, 186.73
1585230366, 0, 90, 92, 79, 1, 1.35%, 0, 0, 3, 229.15
1585230376, 1, 3, 92, 78, 0, 1.35%, 0, 0, 3, 255.58
1585230381, 1, 5, 92, 77, 0, 1.35%, 0, 0, 3, 278.56
1585230386, 1, 10, 92, 76, 0, 1.35%, 0, 0, 3, 277.71
1585230391, 1, 11, 92, 75, 0, 1.35%, 0, 0, 3, 268.77
1585230401, 1, 13, 92, 74, 0, 1.35%, 0, 0, 3, 266.82
1585230417, 1, 16, 92, 73, 0, 1.35%, 0, 0, 3, 304.97
1585230427, 1, 21, 92, 72, 0, 1.35%, 0, 0, 3, 277.16
1585230447, 1, 22, 92, 71, 0, 1.35%, 0, 0, 3, 261.61
1585230468, 1, 23, 92, 70, 0, 1.35%, 0, 0, 3, 287.09
1585230488, 1, 24, 92, 69, 0, 1.35%, 0, 0, 3, 166.58
1585230513, 1, 25, 92, 68, 0, 1.35%, 0, 0, 3, 226.14
1585230534, 1, 31, 92, 67, 0, 1.35%, 0, 0, 3, 268.88
1585230574, 1, 32, 92, 66, 0, 1.35%, 0, 0, 3, 179.20
1585230635, 1, 36, 92, 65, 0, 1.35%, 0, 0, 3, 267.73
1585230650, 1, 36, 93, 66, 0, 1.35%, 0, 0, 3, 206.27
1585230737, 1, 36, 94, 67, 0, 1.35%, 0, 0, 3, 230.04
1585230748, 1, 37, 94, 66, 0, 1.35%, 0, 0, 3, 290.07
1585230799, 1, 40, 94, 65, 0, 1.35%, 0, 0, 3, 274.61
1585230905, 1, 40, 97, 68, 0, 1.35%, 0, 0, 3, 247.26
1585230931, 1, 40, 98, 69, 0, 1.35%, 0, 0, 3, 238.23
1585230936, 1, 40, 99, 70, 0, 1.35%, 0, 0, 3, 248.25
1585230941, 1, 40, 101, 72, 0, 1.35%, 0, 0, 3, 241.78
1585230946, 1, 40, 102, 73, 0, 1.35%, 0, 0, 3, 253.69
1585231028, 1, 40, 103, 74, 0, 1.35%, 0, 0, 3, 243.90
1585231033, 1, 42, 103, 73, 0, 1.35%, 0, 0, 3, 287.92
1585231109, 1, 43, 103, 72, 0, 1.35%, 0, 0, 3, 237.08
1585231114, 1, 45, 103, 72, 0, 1.35%, 0, 0, 3, 293.21
1585231211, 1, 52, 104, 72, 0, 1.35%, 0, 0, 3, 236.65
1585231216, 1, 53, 104, 72, 0, 1.35%, 0, 0, 3, 291.45
1585231283, 1, 60, 104, 71, 0, 1.35%, 0, 0, 3, 239.74
1585231329, 1, 62, 104, 70, 0, 1.35%, 0, 0, 3, 209.42
1585231334, 1, 70, 104, 70, 0, 1.35%, 0, 0, 3, 288.78
1585231456, 1, 76, 104, 69, 0, 1.35%, 0, 0, 3, 283.77
1585231547, 1, 76, 105, 70, 0, 1.35%, 0, 0, 3, 233.87
1585231557, 1, 77, 105, 69, 0, 1.35%, 0, 0, 3, 289.59
1585231659, 1, 86, 105, 68, 0, 1.35%, 0, 0, 3, 245.83
1585231695, 1, 101, 105, 67, 0, 1.35%, 0, 0, 3, 270.93
1585231869, 1, 102, 105, 66, 0, 1.35%, 0, 0, 3, 301.62
1585231874, 1, 102, 106, 67, 0, 1.35%, 0, 0, 4, 308.76
1585231889, 1, 102, 107, 68, 0, 1.35%, 0, 0, 4, 259.55
1585232104, 1, 102, 109, 70, 0, 1.35%, 0, 0, 4, 233.12
1585232109, 1, 102, 111, 72, 0, 1.35%, 0, 0, 4, 242.39
1585232185, 1, 102, 112, 73, 0, 1.35%, 0, 0, 4, 256.09
1585232231, 1, 104, 112, 72, 0, 1.35%, 0, 0, 4, 280.72
1585232261, 1, 104, 113, 73, 0, 1.35%, 0, 0, 4, 328.22
1585232327, 1, 104, 114, 74, 0, 1.35%, 0, 0, 4, 256.86
1585232332, 1, 104, 115, 75, 0, 1.35%, 0, 0, 4, 254.01
1585232353, 1, 105, 115, 74, 0, 1.35%, 0, 0, 4, 273.77
1585232597, 1, 105, 116, 75, 0, 1.35%, 0, 0, 5, 243.96
1585232617, 1, 106, 116, 74, 0, 1.35%, 0, 0, 5, 281.32
1585232855, 1, 111, 116, 73, 0, 1.35%, 0, 0, 5, 296.94
1585233298, 1, 111, 117, 74, 0, 1.35%, 0, 0, 5, 222.93
1585233303, 1, 111, 119, 76, 0, 1.35%, 0, 0, 5, 235.97
1585233308, 1, 111, 120, 77, 0, 1.35%, 0, 0, 5, 238.33
1585233343, 1, 111, 121, 78, 0, 1.35%, 0, 0, 5, 235.47
1585233349, 1, 111, 122, 79, 0, 1.35%, 0, 0, 5, 236.19
1585233436, 1, 113, 122, 78, 0, 1.35%, 0, 0, 5, 288.52
1585233573, 1, 113, 123, 79, 0, 1.35%, 0, 0, 5, 243.29
1585233599, 2, 4, 123, 78, 0, 1.35%, 3, 0, 5, 195.84
1585233604, 2, 4, 123, 78, 0, 1.35%, 4, 0, 5, 180.30
1585233609, 2, 9, 123, 77, 0, 1.35%, 4, 0, 5, 124.47
1585233619, 2, 48, 123, 76, 0, 1.35%, 5, 0, 5, 218.87
1585233726, 2, 48, 123, 76, 0, 1.35%, 7, 0, 5, 221.55
1585233731, 2, 55, 123, 75, 0, 1.35%, 7, 0, 5, 250.57
1585233736, 2, 56, 123, 74, 0, 1.35%, 7, 0, 5, 242.98
1585233741, 2, 66, 123, 74, 0, 1.35%, 7, 0, 5, 275.06
1585233874, 2, 67, 123, 73, 0, 1.35%, 7, 0, 5, 227.32
1585233904, 2, 74, 123, 72, 0, 1.35%, 7, 0, 5, 226.08
1585233934, 2, 79, 123, 71, 0, 1.35%, 7, 0, 5, 273.68
1585233990, 2, 83, 123, 70, 0, 1.35%, 7, 0, 5, 240.91
1585234000, 2, 83, 124, 71, 0, 1.35%, 7, 0, 5, 283.89
1585234128, 2, 84, 124, 70, 0, 1.35%, 7, 0, 5, 285.89
1585234224, 2, 84, 124, 70, 0, 1.35%, 8, 0, 5, 220.03
1585234229, 2, 92, 124, 69, 0, 1.35%, 9, 0, 5, 250.58
1585234346, 2, 93, 124, 68, 0, 1.35%, 9, 0, 5, 289.38
1585234575, 2, 94, 124, 67, 0, 1.35%, 9, 0, 5, 270.49
1585234784, 2, 100, 124, 66, 0, 1.35%, 9, 0, 5, 280.90
1585235033, 2, 112, 124, 65, 0, 1.35%, 9, 0, 5, 265.51
1585235105, 2, 112, 125, 66, 0, 1.35%, 9, 0, 5, 234.03
1585235125, 2, 112, 126, 67, 0, 1.35%, 9, 0, 5, 233.05
1585235135, 2, 112, 127, 68, 0, 1.35%, 9, 0, 5, 248.20
1585235232, 2, 114, 127, 67, 0, 1.35%, 9, 0, 5, 280.09
1585235410, 2, 114, 128, 68, 0, 1.35%, 9, 0, 5, 224.72
1585235431, 2, 114, 129, 69, 0, 1.35%, 9, 0, 5, 234.97
1585235461, 2, 114, 130, 70, 0, 1.35%, 9, 0, 5, 238.18
1585235477, 2, 114, 130, 70, 0, 1.35%, 10, 0, 5, 236.91
1585235548, 2, 115, 130, 69, 0, 1.35%, 10, 0, 5, 258.90
1585235906, 2, 115, 131, 70, 0, 1.35%, 10, 0, 6, 218.21
1585235941, 2, 118, 131, 69, 0, 1.35%, 10, 0, 6, 279.16
1585236477, 2, 124, 131, 68, 0, 1.35%, 10, 0, 6, 254.49
1585236554, 2, 129, 131, 67, 0, 1.35%, 10, 0, 6, 288.70
1585236885, 2, 129, 132, 68, 0, 1.35%, 10, 0, 6, 228.41
1585236890, 2, 129, 133, 69, 0, 1.35%, 10, 0, 6, 242.19
1585236900, 2, 129, 134, 70, 0, 1.35%, 10, 0, 6, 240.48
1585237017, 2, 130, 135, 70, 0, 1.35%, 10, 0, 6, 280.15
1585237500, 2, 130, 137, 72, 0, 1.35%, 10, 0, 7, 221.90
1585237515, 2, 130, 138, 73, 0, 1.35%, 10, 0, 7, 218.85
1585237520, 2, 130, 139, 74, 0, 1.35%, 10, 0, 7, 225.22
1585237551, 2, 130, 140, 75, 0, 1.35%, 10, 0, 7, 220.18
1585237571, 2, 130, 141, 76, 0, 1.35%, 10, 0, 7, 240.25
1585237642, 2, 136, 141, 75, 0, 1.35%, 10, 0, 7, 275.94
1585238508, 2, 138, 141, 74, 0, 1.35%, 10, 0, 7, 272.91
1585239760, 2, 138, 142, 75, 0, 1.35%, 10, 0, 8, 220.30
1585239765, 2, 138, 143, 76, 0, 1.35%, 10, 0, 8, 229.02
1585239775, 2, 138, 144, 77, 0, 1.35%, 10, 0, 8, 227.47
1585239800, 2, 138, 144, 77, 0, 1.35%, 11, 0, 8, 226.44
1585239805, 2, 138, 145, 78, 0, 1.35%, 11, 0, 8, 225.66
1585239811, 2, 138, 146, 79, 0, 1.35%, 11, 0, 8, 224.14
1585239907, 2, 139, 146, 78, 0, 1.35%, 11, 0, 8, 299.90
1585240790, 2, 139, 146, 78, 0, 1.35%, 12, 0, 8, 192.58
1585240796, 2, 139, 146, 78, 0, 1.35%, 13, 0, 8, 203.20
1585240801, 2, 144, 146, 77, 0, 1.35%, 13, 0, 8, 299.64
1585243141, 3, 4, 146, 76, 0, 1.35%, 13, 0, 8, 218.97
1585243146, 3, 26, 146, 76, 0, 1.35%, 13, 0, 8, 258.99
1585243171, 3, 28, 146, 75, 0, 1.35%, 13, 0, 8, 148.50
1585243228, 3, 30, 146, 74, 0, 1.35%, 13, 0, 8, 222.69
1585243269, 3, 43, 146, 73, 0, 1.35%, 13, 0, 8, 222.49
1585243274, 3, 47, 146, 73, 0, 1.35%, 13, 0, 8, 288.37
1585243381, 3, 63, 146, 72, 0, 1.35%, 13, 0, 8, 241.47
1585243386, 3, 64, 146, 72, 0, 1.35%, 13, 0, 8, 256.24
1585243391, 3, 69, 146, 71, 0, 1.35%, 13, 0, 8, 155.35
1585243406, 3, 72, 146, 70, 0, 1.35%, 13, 0, 8, 141.23
1585243422, 3, 80, 146, 69, 0, 1.35%, 13, 0, 8, 241.59
1585243467, 3, 82, 146, 68, 0, 1.35%, 13, 0, 8, 233.20
