# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585314951, 0, 0, 1, 1, 1, 0.80%, 0, 0, 1, 666.67
1585314956, 0, 0, 55, 55, 1, 0.90%, 0, 0, 2, 797.76
1585314961, 0, 0, 58, 58, 1, 0.90%, 0, 0, 2, 846.36
1585314966, 0, 40, 61, 55, 4, 0.90%, 0, 0, 3, 859.74
1585314972, 1, 3, 63, 51, 0, 0.90%, 0, 0, 3, 835.25
1585314977, 1, 44, 64, 47, 1, 0.90%, 0, 0, 3, 837.83
1585314982, 1, 55, 65, 44, 0, 0.90%, 0, 0, 3, 815.56
1585314987, 1, 62, 68, 44, 0, 0.90%, 0, 0, 4, 768.94
1585314992, 2, 5, 70, 43, 0, 0.90%, 0, 0, 4, 803.77
1585314997, 2, 33, 70, 40, 0, 0.90%, 0, 0, 4, 787.90
1585315002, 2, 40, 70, 36, 0, 0.90%, 0, 0, 4, 755.42
1585315008, 2, 50, 71, 34, 0, 0.90%, 0, 0, 4, 764.26
1585315013, 2, 67, 71, 32, 0, 0.90%, 0, 0, 4, 809.73
1585315018, 3, 2, 72, 31, 0, 0.90%, 0, 0, 5, 818.35
1585315023, 3, 20, 73, 27, 0, 0.90%, 0, 0, 5, 850.91
1585315028, 3, 37, 75, 25, 0, 0.90%, 0, 0, 5, 815.01
1585315033, 3, 60, 77, 27, 0, 0.90%, 0, 0, 5, 814.67
1585315039, 3, 76, 77, 25, 1, 0.90%, 0, 0, 5, 823.92
1585315044, 4, 10, 77, 23, 0, 0.90%, 0, 0, 5, 802.40
1585315049, 4, 31, 77, 21, 0, 0.90%, 0, 0, 5, 738.82
1585315054, 4, 57, 78, 20, 0, 0.90%, 0, 0, 5, 789.97
1585315059, 4, 75, 78, 19, 0, 0.90%, 0, 0, 5, 734.44
1585315064, 4, 76, 83, 24, 0, 0.90%, 0, 0, 5, 781.91
1585315069, 4, 77, 85, 26, 0, 0.90%, 0, 0, 5, 808.56
1585315074, 4, 86, 90, 30, 0, 0.90%, 0, 0, 5, 813.12
1585315084, 5, 38, 90, 28, 0, 0.90%, 0, 0, 5, 798.08
1585315089, 5, 68, 92, 30, 0, 0.90%, 0, 0, 5, 809.66
1585315094, 5, 75, 92, 29, 0, 0.90%, 0, 0, 5, 804.20
1585315099, 5, 77, 92, 29, 0, 0.90%, 0, 0, 5, 782.84
1585315104, 5, 84, 92, 29, 0, 0.90%, 0, 0, 5, 766.81
1585315109, 5, 91, 92, 28, 0, 0.90%, 0, 0, 5, 801.58
1585315114, 6, 40, 92, 27, 0, 0.90%, 0, 0, 5, 760.21
1585315120, 6, 73, 92, 26, 0, 0.90%, 0, 0, 5, 755.07
1585315125, 6, 76, 93, 26, 0, 0.90%, 0, 0, 5, 795.82
1585315130, 6, 92, 95, 28, 1, 0.90%, 0, 0, 6, 782.50
1585315135, 6, 92, 96, 29, 1, 0.90%, 0, 0, 6, 720.99
1585315140, 6, 92, 97, 30, 1, 0.90%, 0, 0, 6, 776.71
1585315145, 6, 93, 97, 29, 1, 0.90%, 0, 0, 6, 805.16
1585315150, 7, 17, 97, 27, 0, 0.90%, 0, 0, 6, 775.21
1585315155, 7, 47, 97, 27, 0, 0.90%, 0, 0, 6, 747.45
1585315160, 7, 57, 97, 26, 0, 0.90%, 0, 0, 6, 789.02
1585315165, 7, 66, 97, 26, 0, 0.90%, 0, 0, 6, 771.36
1585315170, 7, 74, 97, 24, 0, 0.90%, 0, 0, 6, 750.65
1585315175, 7, 78, 98, 24, 0, 0.90%, 0, 0, 6, 793.39
1585315181, 7, 78, 99, 25, 0, 0.90%, 0, 0, 6, 793.55
1585315186, 7, 79, 99, 24, 0, 0.90%, 0, 0, 6, 709.31
1585315191, 7, 81, 99, 23, 0, 0.90%, 0, 0, 6, 673.36
1585315201, 7, 93, 99, 22, 0, 0.90%, 0, 0, 6, 774.57
1585315206, 7, 98, 99, 22, 0, 0.90%, 0, 0, 6, 741.31
1585315211, 8, 16, 99, 21, 0, 0.90%, 0, 0, 6, 791.59
1585315216, 8, 46, 99, 19, 0, 0.90%, 0, 0, 6, 733.95
1585315221, 8, 75, 99, 19, 0, 0.90%, 0, 0, 6, 731.99
1585315226, 8, 82, 99, 19, 0, 0.90%, 0, 0, 6, 718.71
1585315236, 8, 85, 99, 18, 0, 0.90%, 0, 0, 6, 749.91
1585315242, 8, 93, 99, 17, 0, 0.90%, 0, 0, 6, 778.51
1585315247, 8, 96, 99, 17, 0, 0.90%, 0, 0, 6, 682.24
1585315252, 8, 96, 101, 19, 0, 0.90%, 0, 0, 7, 652.35
1585315257, 8, 99, 101, 18, 0, 0.90%, 0, 0, 7, 751.25
1585315262, 9, 3, 101, 17, 0, 0.90%, 0, 0, 7, 738.79
1585315267, 9, 38, 101, 16, 0, 0.90%, 0, 0, 7, 745.63
1585315272, 9, 60, 101, 15, 0, 0.90%, 0, 0, 7, 730.44
1585315277, 9, 81, 101, 15, 0, 0.90%, 0, 0, 7, 680.53
1585315282, 9, 95, 101, 15, 0, 0.90%, 0, 0, 7, 665.04
1585315293, 9, 97, 101, 14, 0, 0.90%, 0, 0, 7, 699.10
1585315303, 10, 37, 101, 12, 0, 0.90%, 0, 0, 7, 755.70
1585315308, 10, 60, 101, 12, 0, 0.90%, 0, 0, 7, 768.54
1585315313, 10, 76, 101, 12, 0, 0.90%, 0, 0, 7, 656.04
1585315318, 10, 87, 101, 12, 0, 0.90%, 0, 0, 7, 687.03
1585315323, 10, 89, 101, 11, 0, 0.90%, 0, 0, 7, 744.48
1585315333, 10, 94, 101, 10, 0, 0.90%, 0, 0, 7, 780.84
1585315343, 11, 45, 101, 9, 0, 0.90%, 0, 0, 7, 812.48
1585315348, 11, 60, 101, 9, 0, 0.90%, 0, 0, 7, 742.78
1585315354, 11, 80, 101, 9, 0, 0.90%, 0, 0, 7, 769.18
1585315364, 11, 88, 101, 8, 0, 0.90%, 0, 0, 7, 758.59
1585315369, 11, 93, 101, 7, 0, 0.90%, 0, 0, 7, 735.57
1585315374, 12, 37, 101, 7, 0, 0.90%, 0, 0, 7, 739.14
1585315379, 12, 59, 101, 7, 0, 0.90%, 0, 0, 7, 788.52
1585315384, 12, 75, 101, 7, 0, 0.90%, 0, 0, 7, 749.11
1585315389, 12, 86, 101, 7, 0, 0.90%, 0, 0, 7, 689.97
1585315395, 12, 90, 101, 7, 0, 0.90%, 0, 0, 7, 751.42
1585315400, 12, 98, 101, 6, 0, 0.90%, 0, 0, 7, 769.07
