# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315858, 0, 0, 1, 1, 1, 0.80%, 0, 0, 1, 470.59
1585315863, 0, 0, 45, 45, 1, 0.89%, 0, 0, 2, 629.72
1585315868, 0, 0, 46, 46, 1, 0.89%, 0, 0, 2, 670.51
1585315899, 0, 0, 64, 64, 1, 0.90%, 0, 0, 2, 686.32
1585315904, 0, 0, 68, 68, 1, 0.90%, 0, 0, 2, 703.37
1585315909, 0, 0, 70, 70, 1, 0.90%, 0, 0, 2, 788.22
1585315914, 0, 0, 72, 72, 1, 0.90%, 0, 0, 2, 746.47
1585315919, 0, 0, 74, 74, 1, 0.90%, 0, 0, 2, 755.20
1585315924, 0, 0, 75, 75, 1, 0.90%, 0, 0, 2, 721.51
1585315944, 0, 61, 75, 72, 8, 0.90%, 0, 0, 2, 755.57
1585315949, 0, 61, 76, 73, 8, 0.90%, 0, 0, 3, 802.07
1585315960, 0, 61, 77, 74, 8, 0.90%, 0, 0, 3, 741.55
1585315975, 0, 63, 77, 73, 7, 0.90%, 0, 0, 3, 813.07
1585315980, 0, 64, 77, 72, 6, 0.90%, 0, 0, 3, 760.12
1585315985, 0, 64, 79, 74, 6, 0.90%, 0, 0, 3, 754.66
1585315990, 0, 67, 80, 74, 5, 0.90%, 0, 0, 3, 803.56
1585316026, 0, 70, 80, 73, 5, 0.90%, 0, 0, 3, 784.63
1585316056, 0, 71, 80, 72, 4, 0.90%, 0, 0, 3, 746.61
1585316092, 0, 75, 80, 71, 3, 0.90%, 0, 0, 3, 628.61
1585316097, 0, 75, 81, 72, 3, 0.90%, 0, 0, 4, 680.82
1585316127, 0, 76, 81, 71, 2, 0.90%, 0, 0, 4, 736.55
1585316158, 0, 79, 83, 72, 1, 0.90%, 0, 0, 4, 716.28
1585316163, 0, 79, 84, 73, 1, 0.90%, 0, 0, 4, 645.22
1585316193, 1, 8, 84, 71, 0, 0.90%, 0, 0, 4, 717.49
1585316198, 1, 14, 84, 70, 0, 0.90%, 0, 0, 4, 552.17
1585316203, 1, 16, 84, 69, 0, 0.90%, 0, 0, 4, 676.66
1585316214, 1, 24, 84, 68, 0, 0.90%, 0, 0, 4, 705.20
1585316224, 1, 28, 84, 67, 0, 0.90%, 0, 0, 4, 787.98
1585316239, 1, 34, 84, 66, 0, 0.90%, 0, 0, 4, 707.86
1585316275, 1, 42, 84, 65, 0, 0.90%, 0, 0, 4, 769.68
1585316310, 1, 50, 84, 63, 0, 0.90%, 0, 0, 4, 715.11
1585316346, 1, 54, 84, 62, 0, 0.90%, 0, 0, 4, 777.70
1585316351, 1, 57, 84, 62, 0, 0.90%, 0, 0, 4, 782.27
1585316392, 1, 65, 84, 61, 0, 0.90%, 0, 0, 4, 749.33
1585316427, 1, 75, 84, 60, 0, 0.90%, 0, 0, 4, 747.18
1585316432, 1, 78, 84, 60, 0, 0.90%, 0, 0, 4, 770.23
1585316442, 2, 5, 84, 59, 0, 0.90%, 0, 0, 4, 760.39
1585316448, 2, 21, 84, 57, 0, 0.90%, 0, 0, 4, 755.02
1585316458, 2, 29, 84, 56, 0, 0.90%, 0, 0, 4, 761.01
1585316473, 2, 29, 91, 63, 0, 0.91%, 0, 0, 4, 772.96
1585316478, 2, 29, 95, 67, 0, 0.91%, 0, 0, 4, 751.61
1585316488, 2, 29, 96, 68, 0, 0.91%, 0, 0, 4, 740.40
1585316493, 2, 29, 97, 69, 0, 0.91%, 0, 0, 4, 777.14
1585316498, 2, 29, 99, 71, 0, 0.91%, 0, 0, 4, 769.90
1585316503, 2, 29, 100, 72, 0, 0.91%, 0, 0, 4, 637.59
1585316518, 2, 84, 100, 71, 2, 0.91%, 0, 0, 4, 766.36
1585316666, 2, 94, 100, 70, 1, 0.91%, 0, 0, 4, 642.71
1585317384, 2, 94, 101, 71, 1, 0.91%, 0, 0, 4, 336.53
1585323362, 2, 94, 103, 73, 1, 0.91%, 0, 0, 4, 435.44
1585323367, 2, 94, 104, 74, 1, 0.91%, 0, 0, 4, 416.94
1585323382, 2, 94, 105, 75, 1, 0.91%, 0, 0, 4, 479.08
1585323403, 2, 94, 106, 76, 1, 0.91%, 0, 0, 4, 569.51
1585323408, 2, 100, 106, 75, 1, 0.91%, 0, 0, 4, 461.58
1585330094, 2, 100, 107, 76, 1, 0.91%, 0, 0, 5, 547.34
1585330099, 2, 100, 109, 78, 1, 0.91%, 0, 0, 5, 580.28
1585330115, 2, 100, 110, 79, 1, 0.91%, 0, 0, 5, 584.74
1585330140, 2, 103, 112, 80, 0, 0.91%, 0, 0, 5, 359.72
1585350091, 2, 103, 114, 82, 0, 0.91%, 0, 0, 5, 415.07
1585350102, 2, 107, 114, 81, 0, 0.91%, 0, 0, 5, 287.99
1585357671, 2, 113, 114, 80, 0, 0.91%, 0, 0, 5, 517.42
1585358375, 2, 113, 121, 87, 0, 0.91%, 0, 0, 6, 200.38
1585382121, 2, 116, 121, 86, 0, 0.91%, 0, 0, 6, 337.10
1585389704, 3, 4, 121, 85, 0, 0.91%, 0, 0, 6, 653.87
1585389709, 3, 23, 121, 84, 0, 0.91%, 0, 0, 6, 781.39
1585389719, 3, 33, 123, 85, 0, 0.91%, 0, 0, 6, 645.79
