# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585314973, 0, 0, 1, 1, 1, 1.09%, 0, 0, 1, 173.91
1585314979, 0, 0, 45, 45, 1, 1.30%, 0, 0, 2, 205.61
1585314984, 0, 0, 50, 50, 1, 1.30%, 0, 0, 2, 210.80
1585314989, 0, 0, 53, 53, 1, 1.30%, 0, 0, 2, 214.53
1585314994, 0, 0, 54, 54, 1, 1.30%, 0, 0, 2, 216.50
1585314999, 0, 0, 55, 55, 1, 1.30%, 0, 0, 2, 216.92
1585315004, 0, 0, 57, 57, 1, 1.30%, 0, 0, 2, 216.01
1585315014, 0, 0, 59, 59, 1, 1.30%, 0, 0, 2, 217.80
1585315020, 0, 11, 60, 58, 9, 1.31%, 0, 0, 3, 219.52
1585315025, 0, 14, 64, 61, 8, 1.31%, 0, 0, 3, 218.28
1585315030, 0, 26, 66, 61, 7, 1.31%, 0, 0, 3, 209.39
1585315035, 0, 41, 68, 62, 6, 1.31%, 0, 0, 3, 206.56
1585315040, 0, 47, 69, 61, 4, 1.31%, 0, 0, 3, 209.30
1585315045, 0, 48, 69, 60, 3, 1.31%, 0, 0, 3, 207.75
1585315050, 0, 50, 70, 60, 3, 1.31%, 0, 0, 3, 199.63
1585315055, 0, 63, 72, 60, 1, 1.31%, 0, 0, 4, 205.70
1585315061, 0, 63, 73, 61, 1, 1.31%, 0, 0, 4, 208.41
1585315066, 0, 67, 73, 60, 0, 1.31%, 0, 0, 4, 197.20
1585315071, 1, 6, 73, 59, 0, 1.31%, 0, 0, 4, 203.72
1585315076, 1, 8, 73, 57, 0, 1.31%, 0, 0, 4, 202.17
1585315081, 1, 11, 73, 56, 0, 1.31%, 0, 0, 4, 208.84
1585315086, 1, 18, 73, 56, 0, 1.31%, 0, 0, 4, 202.50
1585315091, 1, 20, 75, 57, 0, 1.31%, 0, 0, 4, 202.04
1585315096, 1, 24, 76, 56, 0, 1.31%, 0, 0, 4, 202.10
1585315101, 1, 26, 77, 57, 0, 1.31%, 0, 0, 4, 202.08
1585315106, 1, 28, 78, 58, 0, 1.31%, 0, 0, 4, 197.38
1585315111, 1, 42, 78, 56, 0, 1.31%, 0, 0, 4, 201.87
1585315116, 1, 44, 78, 55, 0, 1.31%, 0, 0, 4, 198.62
1585315122, 1, 46, 78, 54, 0, 1.31%, 0, 0, 4, 201.10
1585315127, 1, 48, 78, 54, 0, 1.31%, 0, 0, 4, 201.99
1585315132, 1, 52, 78, 54, 0, 1.31%, 0, 0, 4, 198.25
1585315137, 1, 54, 78, 53, 0, 1.31%, 0, 0, 4, 197.38
1585315142, 1, 59, 78, 51, 0, 1.31%, 0, 0, 4, 196.16
1585315147, 1, 63, 78, 51, 0, 1.31%, 0, 0, 4, 198.56
1585315152, 1, 64, 79, 52, 0, 1.31%, 0, 0, 4, 192.50
1585315158, 1, 75, 79, 51, 0, 1.31%, 0, 0, 4, 197.61
1585315163, 1, 76, 79, 50, 0, 1.31%, 0, 0, 4, 204.07
1585315173, 2, 3, 79, 49, 0, 1.31%, 0, 0, 4, 201.11
1585315178, 2, 7, 79, 48, 0, 1.31%, 0, 0, 4, 198.55
1585315183, 2, 11, 79, 48, 0, 1.31%, 0, 0, 4, 202.01
1585315188, 2, 26, 79, 48, 0, 1.31%, 0, 0, 4, 197.49
1585315193, 2, 43, 79, 48, 0, 1.31%, 0, 0, 4, 197.08
1585315199, 2, 47, 79, 47, 0, 1.31%, 0, 0, 4, 199.27
1585315204, 2, 49, 79, 47, 0, 1.31%, 0, 0, 4, 195.54
1585315209, 2, 51, 79, 46, 0, 1.31%, 0, 0, 4, 195.30
