# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585314929, 0, 0, 1, 1, 1, 1.09%, 0, 0, 1, 173.91
1585314934, 0, 0, 38, 38, 1, 1.29%, 0, 0, 2, 223.80
1585314939, 0, 0, 46, 46, 1, 1.29%, 0, 0, 2, 234.53
1585314944, 0, 0, 47, 47, 1, 1.29%, 0, 0, 2, 229.79
1585314949, 0, 0, 48, 48, 1, 1.29%, 0, 0, 2, 216.31
1585314954, 0, 0, 49, 49, 1, 1.29%, 0, 0, 2, 220.90
1585315061, 0, 0, 60, 60, 1, 1.30%, 0, 0, 2, 209.60
1585315066, 0, 0, 64, 64, 1, 1.30%, 0, 0, 2, 209.11
1585315071, 0, 0, 66, 66, 1, 1.30%, 0, 0, 2, 204.99
1585315076, 0, 0, 68, 68, 1, 1.30%, 0, 0, 2, 206.69
1585315081, 0, 0, 71, 71, 1, 1.30%, 0, 0, 2, 205.73
1585315087, 0, 0, 73, 73, 1, 1.30%, 0, 0, 2, 200.75
1585315092, 0, 0, 76, 76, 1, 1.30%, 0, 0, 2, 198.64
1585315097, 0, 0, 78, 78, 1, 1.30%, 0, 0, 2, 199.98
1585315107, 0, 0, 79, 79, 1, 1.30%, 0, 0, 2, 199.39
1585315123, 0, 0, 81, 81, 1, 1.30%, 0, 0, 2, 197.01
1585315169, 0, 0, 82, 82, 1, 1.30%, 0, 0, 2, 209.27
1585315180, 0, 0, 83, 83, 1, 1.31%, 0, 0, 2, 207.36
1585315225, 0, 35, 83, 82, 11, 1.31%, 0, 0, 2, 208.09
1585315292, 0, 49, 83, 81, 11, 1.31%, 0, 0, 2, 204.72
1585315297, 0, 49, 84, 82, 11, 1.31%, 0, 0, 3, 212.71
1585315307, 0, 53, 84, 81, 10, 1.31%, 0, 0, 3, 170.83
1585315374, 0, 55, 84, 80, 9, 1.31%, 0, 0, 3, 199.33
1585315379, 0, 56, 84, 79, 8, 1.31%, 0, 0, 3, 217.21
1585315384, 0, 67, 84, 78, 7, 1.31%, 0, 0, 3, 174.45
1585315394, 0, 67, 86, 80, 7, 1.31%, 0, 0, 3, 171.46
1585315419, 0, 69, 86, 79, 6, 1.31%, 0, 0, 3, 204.78
1585315424, 0, 69, 88, 81, 6, 1.31%, 0, 0, 3, 208.16
1585315440, 0, 71, 88, 80, 6, 1.31%, 0, 0, 3, 198.65
1585315450, 0, 74, 88, 79, 5, 1.31%, 0, 0, 3, 215.14
1585315455, 0, 81, 88, 78, 4, 1.31%, 0, 0, 3, 212.95
1585315465, 0, 81, 89, 79, 4, 1.31%, 0, 0, 3, 193.11
1585315588, 0, 82, 89, 78, 3, 1.31%, 0, 0, 3, 198.78
1585315705, 0, 84, 89, 77, 2, 1.31%, 0, 0, 3, 187.24
1585315716, 0, 86, 89, 76, 1, 1.31%, 0, 0, 3, 209.64
1585315721, 1, 1, 89, 75, 0, 1.31%, 0, 0, 3, 215.15
1585315731, 1, 7, 89, 74, 0, 1.31%, 0, 0, 3, 207.81
1585315741, 1, 14, 89, 73, 0, 1.31%, 0, 0, 3, 150.44
1585315756, 1, 83, 89, 72, 1, 1.31%, 0, 0, 3, 166.98
1585315761, 1, 83, 90, 73, 1, 1.31%, 0, 0, 4, 182.75
1585315772, 1, 87, 90, 72, 0, 1.31%, 0, 0, 4, 156.54
1585315782, 1, 88, 90, 71, 0, 1.31%, 0, 0, 4, 182.63
1585315797, 1, 88, 91, 72, 0, 1.31%, 0, 0, 4, 173.23
1585315909, 1, 88, 92, 73, 0, 1.31%, 0, 0, 4, 197.02
1585315920, 1, 89, 92, 72, 0, 1.31%, 0, 0, 4, 210.83
1585315930, 1, 89, 93, 73, 0, 1.31%, 0, 0, 5, 206.27
1585315976, 1, 89, 94, 74, 0, 1.31%, 0, 0, 5, 186.28
1585315981, 1, 89, 95, 75, 0, 1.31%, 0, 0, 5, 203.20
1585316006, 1, 89, 96, 76, 0, 1.31%, 0, 0, 5, 202.94
1585316094, 1, 89, 98, 78, 0, 1.31%, 0, 0, 5, 201.32
1585316134, 1, 90, 98, 77, 0, 1.31%, 0, 0, 5, 194.67
1585316160, 1, 90, 99, 78, 0, 1.31%, 0, 0, 5, 197.95
1585316273, 1, 90, 100, 79, 0, 1.31%, 0, 0, 5, 197.61
1585316283, 1, 90, 102, 81, 0, 1.31%, 0, 0, 5, 199.12
1585316298, 1, 90, 103, 82, 0, 1.31%, 0, 0, 5, 197.89
1585316375, 1, 90, 104, 83, 0, 1.31%, 0, 0, 5, 199.73
1585316395, 1, 97, 105, 83, 0, 1.31%, 0, 0, 6, 202.88
1585316405, 1, 97, 106, 84, 0, 1.31%, 0, 0, 6, 178.01
1585316523, 1, 105, 106, 83, 0, 1.31%, 0, 0, 6, 167.73
1585316656, 2, 6, 106, 82, 0, 1.31%, 0, 0, 6, 199.65
1585316661, 2, 6, 107, 83, 0, 1.32%, 0, 0, 6, 194.52
1585316667, 2, 6, 108, 84, 0, 1.32%, 0, 0, 6, 198.84
1585316682, 2, 16, 108, 83, 1, 1.32%, 0, 0, 6, 205.24
1585316702, 2, 80, 108, 82, 1, 1.32%, 0, 0, 6, 197.15
1585316820, 2, 80, 109, 83, 1, 1.32%, 0, 0, 6, 185.41
1585316825, 2, 80, 112, 86, 1, 1.32%, 0, 0, 6, 189.30
1585316902, 2, 107, 112, 85, 2, 1.32%, 0, 0, 6, 189.72
1585318027, 2, 107, 113, 86, 2, 1.32%, 0, 0, 6, 171.70
1585318042, 2, 112, 113, 85, 1, 1.32%, 0, 0, 6, 156.67
1585325589, 2, 112, 114, 86, 1, 1.32%, 0, 0, 6, 101.98
1585325594, 2, 112, 116, 88, 1, 1.32%, 0, 0, 6, 131.55
1585325676, 2, 115, 116, 87, 0, 1.32%, 0, 0, 6, 130.94
1585334334, 3, 14, 116, 86, 0, 1.32%, 0, 0, 6, 172.98
1585334339, 3, 17, 116, 86, 0, 1.32%, 0, 0, 6, 209.78
1585334355, 3, 18, 116, 85, 0, 1.32%, 0, 0, 6, 209.71
1585334375, 3, 19, 116, 84, 0, 1.32%, 0, 0, 6, 211.00
1585334395, 3, 20, 116, 83, 0, 1.32%, 0, 0, 6, 212.34
1585334420, 3, 30, 116, 82, 0, 1.32%, 0, 0, 6, 190.22
1585334487, 3, 31, 116, 81, 0, 1.32%, 0, 0, 6, 210.44
1585334537, 3, 33, 116, 80, 0, 1.32%, 0, 0, 6, 203.47
1585334598, 3, 34, 116, 79, 0, 1.32%, 0, 0, 6, 203.12
1585334741, 3, 37, 116, 78, 0, 1.32%, 0, 0, 6, 203.91
1585334880, 3, 40, 116, 77, 0, 1.32%, 0, 0, 6, 206.17
1585334981, 3, 43, 116, 76, 0, 1.32%, 0, 0, 6, 203.35
1585335109, 3, 49, 116, 75, 0, 1.32%, 0, 0, 6, 209.25
1585335114, 3, 54, 116, 75, 0, 1.32%, 0, 0, 6, 208.67
1585335257, 3, 57, 116, 74, 0, 1.32%, 0, 0, 6, 176.33
1585335380, 3, 60, 116, 73, 0, 1.32%, 0, 0, 6, 207.48
1585335533, 3, 60, 117, 74, 0, 1.32%, 0, 0, 6, 171.07
1585335538, 3, 60, 118, 75, 0, 1.32%, 0, 0, 6, 198.27
1585335548, 3, 65, 118, 74, 0, 1.32%, 0, 0, 6, 210.47
1585335687, 3, 71, 118, 73, 0, 1.32%, 0, 0, 6, 212.94
1585335692, 3, 72, 118, 73, 0, 1.32%, 0, 0, 6, 210.88
1585335814, 3, 73, 118, 72, 0, 1.32%, 0, 0, 6, 203.43
1585335927, 3, 79, 118, 71, 0, 1.32%, 0, 0, 6, 208.15
1585335973, 3, 82, 118, 70, 0, 1.32%, 0, 0, 6, 201.52
1585335978, 3, 88, 118, 70, 0, 1.32%, 0, 0, 6, 210.28
1585335983, 3, 101, 118, 70, 0, 1.32%, 0, 0, 6, 203.21
1585336158, 3, 101, 119, 71, 0, 1.32%, 0, 0, 6, 198.29
1585336183, 3, 101, 120, 72, 0, 1.32%, 0, 0, 6, 203.25
1585336234, 3, 103, 120, 71, 0, 1.32%, 0, 0, 6, 205.89
1585336346, 3, 112, 120, 70, 0, 1.32%, 0, 0, 6, 178.35
1585336351, 4, 3, 120, 70, 0, 1.32%, 0, 0, 6, 183.05
1585336362, 4, 11, 120, 69, 0, 1.32%, 0, 0, 6, 205.36
1585336372, 4, 20, 120, 68, 0, 1.32%, 0, 0, 6, 203.64
1585336377, 4, 25, 120, 68, 0, 1.32%, 0, 0, 6, 207.29
1585336408, 4, 28, 120, 67, 0, 1.32%, 0, 0, 6, 210.04
1585336458, 4, 29, 120, 66, 0, 1.32%, 0, 0, 6, 213.90
1585336510, 4, 44, 120, 65, 0, 1.32%, 0, 0, 6, 179.11
1585336678, 4, 47, 120, 64, 0, 1.32%, 0, 0, 6, 194.74
1585336822, 4, 49, 120, 63, 0, 1.32%, 0, 0, 6, 200.46
1585336827, 4, 61, 120, 63, 0, 1.32%, 0, 0, 6, 212.38
1585336909, 4, 68, 120, 62, 0, 1.32%, 0, 0, 6, 158.05
1585337032, 4, 69, 120, 61, 0, 1.32%, 0, 0, 6, 194.43
1585337038, 4, 76, 120, 61, 0, 1.32%, 0, 0, 6, 202.36
1585337150, 4, 81, 120, 60, 0, 1.32%, 0, 0, 6, 196.06
1585337155, 4, 94, 120, 60, 0, 1.32%, 0, 0, 6, 205.89
1585337297, 4, 94, 121, 61, 0, 1.32%, 0, 0, 6, 206.97
1585337327, 4, 94, 122, 62, 0, 1.32%, 0, 0, 6, 201.44
1585337337, 4, 94, 123, 63, 0, 1.32%, 0, 0, 6, 207.34
1585337378, 4, 94, 124, 64, 0, 1.32%, 0, 0, 6, 192.86
1585337454, 4, 98, 124, 63, 0, 1.32%, 0, 0, 6, 202.06
1585337602, 4, 102, 124, 62, 0, 1.32%, 0, 0, 6, 193.25
1585337838, 4, 107, 124, 61, 0, 1.32%, 0, 0, 6, 198.55
1585337843, 4, 114, 124, 61, 0, 1.32%, 0, 0, 6, 113.38
1585345698, 4, 115, 124, 60, 0, 1.32%, 0, 0, 6, 142.33
1585345703, 4, 118, 124, 60, 0, 1.32%, 0, 0, 6, 183.43
1585345902, 4, 118, 126, 62, 0, 1.32%, 0, 0, 7, 191.44
1585345964, 4, 120, 126, 61, 0, 1.32%, 0, 0, 7, 169.09
1585346247, 4, 120, 130, 65, 0, 1.32%, 0, 0, 7, 135.48
1585377400, 4, 120, 131, 66, 0, 1.32%, 0, 0, 7, 150.15
1585377405, 4, 120, 132, 67, 0, 1.32%, 0, 0, 7, 169.63
1585377426, 4, 120, 133, 68, 0, 1.32%, 0, 0, 7, 178.98
1585377523, 4, 120, 134, 69, 0, 1.32%, 0, 0, 7, 178.52
1585377538, 4, 126, 134, 68, 0, 1.32%, 0, 0, 7, 177.51
1585406374, 4, 128, 134, 67, 0, 1.32%, 0, 0, 7, 144.93
1585435464, 4, 129, 134, 66, 0, 1.32%, 0, 0, 7, 158.38
1585464343, 4, 130, 134, 65, 0, 1.32%, 0, 0, 7, 129.16
1585509481, 5, 4, 134, 64, 0, 1.32%, 0, 0, 7, 172.82
1585509491, 5, 64, 134, 63, 1, 1.32%, 0, 0, 7, 149.84
1585509501, 5, 66, 134, 62, 0, 1.32%, 0, 0, 7, 159.09
1585509619, 5, 66, 135, 63, 0, 1.32%, 0, 0, 7, 193.36
1585509629, 5, 77, 135, 62, 0, 1.32%, 0, 0, 7, 193.63
1585509680, 5, 82, 135, 61, 0, 1.32%, 0, 0, 7, 196.93
1585509685, 5, 85, 135, 61, 0, 1.32%, 0, 0, 7, 172.66
1585509701, 5, 86, 135, 60, 0, 1.32%, 0, 0, 7, 189.38
1585509706, 5, 106, 135, 60, 0, 1.32%, 0, 0, 7, 168.78
1585510399, 5, 108, 135, 59, 0, 1.32%, 0, 0, 7, 186.86
1585510590, 5, 123, 135, 58, 0, 1.32%, 0, 0, 7, 164.05
1585534698, 5, 133, 135, 57, 0, 1.32%, 0, 0, 7, 128.41
1585605720, 5, 133, 136, 58, 0, 1.32%, 0, 0, 8, 170.48
1585605751, 6, 10, 136, 57, 0, 1.32%, 0, 0, 8, 204.30
1585605761, 6, 12, 136, 56, 0, 1.32%, 0, 0, 8, 213.08
1585605781, 6, 15, 136, 55, 0, 1.32%, 0, 0, 8, 152.34
1585605929, 6, 46, 136, 54, 0, 1.32%, 0, 0, 8, 196.06
1585606072, 6, 52, 136, 53, 0, 1.32%, 0, 0, 8, 203.98
1585606160, 6, 55, 136, 52, 0, 1.32%, 0, 0, 8, 206.11
1585606165, 6, 58, 136, 52, 0, 1.32%, 0, 0, 8, 207.89
1585606170, 6, 69, 136, 51, 0, 1.32%, 0, 0, 8, 210.25
1585606175, 6, 70, 136, 51, 0, 1.32%, 0, 0, 8, 215.78
1585606231, 6, 74, 136, 50, 0, 1.32%, 0, 0, 8, 183.00
1585606236, 6, 78, 136, 50, 0, 1.32%, 0, 0, 8, 176.25
1585606257, 6, 84, 136, 49, 0, 1.32%, 0, 0, 8, 207.01
1585606262, 6, 91, 136, 49, 0, 1.32%, 0, 0, 8, 206.04
1585606354, 6, 91, 137, 50, 0, 1.32%, 0, 0, 8, 196.72
1585606473, 6, 93, 137, 49, 0, 1.32%, 0, 0, 8, 188.79
1585606640, 6, 104, 137, 48, 0, 1.32%, 0, 0, 8, 209.82
1585606764, 6, 112, 137, 47, 0, 1.32%, 0, 0, 8, 184.61
1585606769, 6, 125, 137, 47, 0, 1.32%, 0, 0, 8, 146.12
1585606841, 6, 125, 138, 48, 0, 1.32%, 0, 0, 8, 164.26
1585607204, 6, 127, 138, 47, 0, 1.32%, 0, 0, 8, 165.69
1585635881, 7, 2, 138, 46, 0, 1.32%, 0, 0, 8, 197.71
1585635886, 7, 24, 138, 45, 0, 1.32%, 0, 0, 8, 206.26
1585635916, 7, 32, 138, 44, 0, 1.32%, 0, 0, 8, 182.17
1585635973, 7, 56, 138, 43, 0, 1.32%, 0, 0, 8, 206.55
1585635978, 7, 59, 138, 43, 0, 1.32%, 0, 0, 8, 199.69
1585636131, 7, 62, 138, 42, 0, 1.32%, 0, 0, 8, 200.97
1585636265, 7, 69, 138, 41, 0, 1.32%, 0, 0, 8, 196.49
1585636270, 7, 77, 138, 41, 0, 1.32%, 0, 0, 8, 204.44
1585636275, 7, 84, 138, 41, 0, 1.32%, 0, 0, 8, 198.99
1585636280, 7, 110, 138, 41, 0, 1.32%, 0, 0, 8, 168.15
1585637406, 7, 111, 138, 40, 0, 1.32%, 0, 0, 8, 125.79
1585638185, 7, 112, 138, 39, 0, 1.32%, 0, 0, 8, 52.48
1585638190, 7, 113, 138, 39, 0, 1.32%, 0, 0, 8, 72.43
1585645850, 7, 127, 138, 38, 0, 1.32%, 0, 0, 8, 169.62
1585645855, 7, 134, 138, 38, 0, 1.32%, 0, 0, 8, 88.88
1585646425, 7, 134, 142, 42, 0, 1.32%, 0, 0, 8, 61.02
1585646430, 7, 134, 143, 43, 0, 1.32%, 0, 0, 8, 60.81
1585646517, 7, 136, 143, 42, 0, 1.32%, 0, 0, 8, 96.52
1585646753, 7, 139, 143, 41, 0, 1.32%, 0, 0, 8, 103.80
1585647506, 7, 141, 143, 40, 0, 1.32%, 0, 0, 8, 47.32
1585658478, 7, 141, 144, 41, 0, 1.32%, 0, 0, 8, 110.63
1585658539, 8, 4, 144, 40, 0, 1.32%, 0, 0, 8, 119.49
1585658544, 8, 56, 144, 40, 0, 1.32%, 0, 0, 8, 189.77
1585658549, 8, 74, 144, 40, 0, 1.32%, 0, 0, 8, 204.70
1585658554, 8, 84, 144, 40, 0, 1.32%, 0, 0, 8, 171.93
1585658559, 8, 95, 144, 40, 0, 1.32%, 0, 0, 8, 155.15
1585658769, 8, 107, 144, 39, 0, 1.32%, 0, 0, 8, 182.57
1585658774, 8, 109, 144, 39, 0, 1.32%, 0, 0, 8, 141.57
1585660287, 8, 109, 145, 40, 0, 1.32%, 0, 0, 8, 167.98
1585660302, 8, 112, 145, 39, 0, 1.32%, 0, 0, 8, 158.44
