# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229588, 0, 0, 1, 1, 1, 1.78%, 0, 0, 1, 6.00
1585229650, 0, 0, 5, 5, 1, 2.13%, 0, 0, 2, 8.06
1585229655, 0, 0, 10, 10, 1, 2.13%, 2, 0, 2, 8.45
1585229660, 0, 0, 13, 13, 1, 2.13%, 3, 0, 2, 7.32
1585229665, 0, 0, 16, 16, 1, 2.14%, 4, 0, 2, 5.78
1585229670, 0, 0, 18, 18, 1, 2.14%, 4, 0, 2, 5.02
1585229675, 0, 0, 22, 22, 1, 2.19%, 4, 0, 2, 5.49
1585229680, 0, 0, 28, 28, 1, 2.19%, 5, 0, 2, 10.86
1585229686, 0, 0, 33, 33, 1, 2.19%, 6, 0, 2, 10.43
1585229691, 0, 0, 37, 37, 1, 2.21%, 6, 0, 2, 8.26
1585229696, 0, 0, 39, 39, 1, 2.21%, 8, 0, 2, 7.60
1585229702, 0, 0, 42, 42, 1, 2.22%, 8, 0, 2, 7.04
1585229707, 0, 0, 47, 47, 1, 2.22%, 8, 0, 2, 11.87
1585229712, 0, 0, 52, 52, 1, 2.22%, 9, 0, 2, 13.80
1585229717, 0, 0, 56, 56, 1, 2.22%, 11, 0, 2, 13.17
1585229722, 0, 0, 59, 59, 1, 2.22%, 11, 0, 2, 10.18
1585229727, 0, 0, 62, 62, 1, 2.22%, 11, 0, 2, 8.73
1585229733, 0, 0, 64, 64, 1, 2.22%, 11, 0, 2, 8.09
1585229738, 0, 0, 65, 65, 1, 2.22%, 11, 0, 2, 6.31
1585229743, 0, 0, 66, 66, 1, 2.22%, 11, 0, 2, 6.58
1585229748, 0, 0, 69, 69, 1, 2.22%, 11, 0, 2, 8.12
1585229754, 0, 0, 71, 71, 1, 2.22%, 11, 0, 2, 9.18
1585229759, 0, 0, 74, 74, 1, 2.22%, 11, 0, 2, 7.95
1585229764, 0, 0, 76, 76, 1, 2.22%, 11, 0, 2, 9.14
1585229769, 0, 0, 78, 78, 1, 2.22%, 12, 0, 2, 8.36
1585229774, 0, 0, 80, 80, 1, 2.22%, 12, 0, 2, 12.51
1585229779, 0, 0, 82, 82, 1, 2.22%, 12, 0, 2, 11.66
1585229784, 0, 0, 83, 83, 1, 2.22%, 12, 0, 2, 11.49
1585229789, 0, 0, 84, 84, 1, 2.22%, 13, 0, 2, 11.52
1585229794, 0, 0, 87, 87, 1, 2.23%, 13, 0, 2, 11.04
1585229799, 0, 0, 88, 88, 1, 2.23%, 14, 0, 2, 12.12
