# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229487, 0, 0, 1, 1, 1, 1.78%, 0, 0, 1, 8.21
1585229538, 0, 0, 2, 2, 1, 1.80%, 0, 0, 2, 7.23
1585229543, 0, 0, 3, 3, 1, 2.00%, 0, 0, 2, 7.89
1585229564, 0, 0, 4, 4, 1, 2.01%, 0, 0, 2, 10.43
1585229569, 0, 0, 7, 7, 1, 2.13%, 0, 0, 2, 10.53
1585229579, 0, 0, 8, 8, 1, 2.13%, 0, 0, 2, 6.11
1585229610, 0, 0, 9, 9, 1, 2.14%, 0, 0, 2, 9.36
1585229636, 0, 0, 11, 11, 1, 2.16%, 0, 0, 2, 6.36
1585229729, 0, 0, 12, 12, 1, 2.16%, 0, 0, 2, 7.27
1585229734, 0, 0, 13, 13, 1, 2.16%, 0, 0, 2, 6.46
1585229822, 0, 0, 15, 15, 1, 2.16%, 0, 0, 2, 8.47
1585229868, 0, 0, 16, 16, 1, 2.16%, 0, 0, 2, 10.03
1585230260, 0, 0, 17, 17, 1, 2.16%, 0, 0, 2, 9.13
1585230296, 0, 0, 18, 18, 1, 2.16%, 0, 0, 2, 11.00
1585230426, 0, 0, 19, 19, 1, 2.16%, 0, 0, 2, 8.26
1585230467, 0, 0, 20, 20, 1, 2.16%, 0, 0, 2, 6.46
1585231186, 0, 0, 21, 21, 1, 2.17%, 0, 0, 2, 9.66
1585231479, 0, 0, 22, 22, 1, 2.17%, 0, 0, 2, 7.84
1585231510, 0, 0, 23, 23, 1, 2.17%, 0, 0, 2, 10.09
1585231531, 0, 0, 24, 24, 1, 2.17%, 0, 0, 2, 9.12
1585231562, 0, 0, 25, 25, 1, 2.17%, 0, 0, 2, 10.01
1585233177, 0, 0, 26, 26, 1, 2.17%, 0, 0, 2, 6.37
1585233269, 0, 0, 27, 27, 1, 2.18%, 0, 0, 2, 7.90
1585233579, 0, 0, 28, 28, 1, 2.18%, 0, 0, 2, 6.63
1585241561, 0, 0, 29, 29, 1, 2.20%, 0, 0, 2, 5.58
1585252713, 0, 0, 32, 32, 1, 2.20%, 0, 0, 2, 8.43
1585252718, 0, 0, 33, 33, 1, 2.20%, 0, 0, 2, 8.66
1585252723, 0, 0, 34, 34, 1, 2.20%, 0, 0, 2, 8.64
1585252878, 0, 0, 35, 35, 1, 2.20%, 0, 0, 2, 8.11
1585253257, 0, 0, 36, 36, 1, 2.20%, 0, 0, 2, 3.63
1585256119, 0, 0, 39, 39, 1, 2.20%, 3, 0, 2, 6.70
1585256124, 0, 0, 44, 44, 1, 2.22%, 6, 0, 2, 8.36
1585256129, 0, 0, 49, 49, 1, 2.22%, 8, 0, 2, 9.36
1585256134, 0, 0, 54, 54, 1, 2.22%, 8, 0, 2, 9.13
1585256139, 0, 0, 58, 58, 1, 2.22%, 8, 0, 2, 9.19
1585256144, 0, 0, 62, 62, 1, 2.22%, 8, 0, 2, 8.26
1585256149, 0, 0, 65, 65, 1, 2.22%, 8, 0, 2, 7.60
