# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229598, 0, 0, 1, 1, 1, 1.59%, 0, 0, 1, 66.12
1585229608, 0, 0, 49, 49, 1, 1.89%, 9, 0, 2, 105.89
1585229613, 0, 0, 71, 71, 1, 1.90%, 14, 0, 2, 113.02
1585229618, 0, 0, 83, 83, 1, 1.90%, 19, 0, 2, 109.46
1585229623, 0, 0, 92, 92, 1, 1.90%, 19, 0, 2, 113.56
1585229628, 0, 0, 98, 98, 1, 1.91%, 20, 0, 2, 115.11
1585229633, 0, 0, 103, 103, 1, 1.91%, 20, 0, 2, 116.16
1585229638, 0, 0, 105, 105, 1, 1.91%, 23, 0, 2, 112.97
1585229643, 0, 0, 107, 107, 1, 1.91%, 23, 0, 2, 109.20
1585229648, 0, 0, 108, 108, 1, 1.91%, 23, 0, 2, 109.26
1585229653, 0, 12, 112, 111, 16, 1.91%, 23, 0, 2, 132.79
1585229659, 0, 12, 120, 119, 16, 1.91%, 23, 0, 3, 208.39
1585229664, 0, 12, 123, 122, 16, 1.91%, 23, 0, 3, 208.33
1585229669, 0, 41, 123, 121, 15, 1.91%, 24, 0, 3, 237.68
1585229674, 0, 50, 126, 123, 14, 1.91%, 24, 0, 3, 227.08
1585229679, 0, 50, 127, 124, 14, 1.91%, 26, 0, 3, 207.66
1585229684, 0, 51, 127, 123, 13, 1.91%, 26, 0, 3, 140.42
1585229689, 0, 53, 127, 122, 12, 1.91%, 26, 0, 3, 198.71
1585229694, 0, 63, 128, 121, 10, 1.91%, 26, 0, 3, 228.14
1585229700, 0, 64, 129, 121, 9, 1.91%, 26, 0, 3, 168.40
1585229705, 0, 92, 129, 120, 8, 1.91%, 27, 0, 3, 138.10
1585229715, 0, 93, 131, 121, 7, 1.91%, 27, 0, 3, 181.49
1585229720, 0, 94, 132, 121, 6, 1.91%, 27, 0, 3, 225.27
1585229725, 0, 100, 133, 121, 5, 1.91%, 27, 0, 3, 222.22
1585229730, 0, 106, 134, 121, 4, 1.93%, 27, 0, 3, 223.85
1585229735, 0, 122, 136, 121, 3, 1.93%, 27, 0, 4, 192.48
1585229740, 0, 123, 136, 120, 2, 1.93%, 27, 0, 4, 128.40
1585229745, 0, 133, 137, 120, 1, 1.93%, 27, 0, 4, 168.27
1585229751, 0, 133, 143, 126, 1, 1.93%, 27, 0, 4, 198.86
1585229756, 0, 133, 146, 129, 1, 1.93%, 28, 0, 4, 211.59
1585229761, 0, 133, 148, 131, 1, 1.93%, 28, 0, 4, 212.03
1585229766, 0, 144, 148, 130, 3, 1.93%, 28, 0, 4, 221.75
1585229771, 0, 147, 149, 130, 3, 1.93%, 28, 0, 5, 191.68
1585229776, 0, 147, 150, 131, 3, 1.93%, 28, 0, 5, 157.82
