# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585229491, 0, 0, 1, 1, 1, 1.60%, 0, 0, 1, 52.98
1585229501, 0, 0, 3, 3, 1, 1.74%, 0, 0, 2, 59.55
1585229506, 0, 0, 9, 9, 1, 1.85%, 0, 0, 2, 62.75
1585229511, 0, 0, 10, 10, 1, 1.85%, 0, 0, 2, 56.96
1585229516, 0, 0, 11, 11, 1, 1.85%, 0, 0, 2, 70.90
1585229526, 0, 0, 13, 13, 1, 1.85%, 0, 0, 2, 58.04
1585229537, 0, 0, 15, 15, 1, 1.85%, 0, 0, 2, 56.73
1585229547, 0, 0, 17, 17, 1, 1.85%, 0, 0, 2, 56.36
1585229597, 0, 0, 18, 18, 1, 1.85%, 0, 0, 2, 55.13
1585229607, 0, 0, 19, 19, 1, 1.85%, 0, 0, 2, 56.04
1585229628, 0, 0, 20, 20, 1, 1.85%, 0, 0, 2, 56.62
1585229633, 0, 0, 21, 21, 1, 1.86%, 0, 0, 2, 63.03
1585229725, 0, 0, 22, 22, 1, 1.86%, 0, 0, 2, 55.18
1585229760, 0, 0, 23, 23, 1, 1.86%, 0, 0, 2, 63.20
1585229766, 0, 0, 25, 25, 1, 1.86%, 0, 0, 2, 61.50
1585229771, 0, 0, 26, 26, 1, 1.86%, 0, 0, 2, 64.80
1585229965, 0, 0, 28, 28, 1, 1.87%, 0, 0, 2, 65.42
1585229970, 0, 0, 29, 29, 1, 1.87%, 0, 0, 2, 69.35
1585230888, 0, 0, 30, 30, 1, 1.88%, 0, 0, 2, 57.63
1585232211, 0, 0, 34, 34, 1, 1.88%, 0, 0, 2, 66.75
1585232226, 0, 0, 35, 35, 1, 1.88%, 0, 0, 2, 55.30
1585232257, 0, 0, 36, 36, 1, 1.88%, 0, 0, 2, 53.85
1585232545, 0, 0, 38, 38, 1, 1.90%, 0, 0, 2, 54.90
1585232550, 0, 0, 72, 72, 1, 1.90%, 11, 0, 2, 79.64
1585232555, 0, 0, 95, 95, 1, 1.91%, 11, 0, 2, 84.73
1585232560, 0, 0, 104, 104, 1, 1.91%, 12, 0, 2, 79.44
1585232565, 0, 0, 108, 108, 1, 1.91%, 13, 0, 2, 80.56
1585232570, 0, 0, 111, 111, 1, 1.91%, 14, 0, 2, 79.53
1585232576, 0, 0, 114, 114, 1, 1.91%, 18, 0, 2, 82.04
1585232581, 0, 0, 116, 116, 1, 1.91%, 19, 0, 2, 80.46
