# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585230571, 0, 0, 1, 1, 1, 0.71%, 0, 0, 1, 363.64
1585230576, 0, 0, 32, 32, 1, 0.79%, 0, 0, 2, 253.02
1585230581, 0, 0, 38, 38, 1, 0.79%, 1, 0, 2, 224.50
1585230586, 0, 0, 41, 41, 1, 0.79%, 1, 0, 2, 224.65
1585230591, 0, 0, 42, 42, 1, 0.79%, 1, 0, 2, 218.98
1585230601, 0, 0, 43, 43, 1, 0.79%, 1, 0, 2, 219.05
1585230617, 0, 5, 44, 43, 5, 0.79%, 1, 0, 2, 192.98
1585230622, 0, 5, 49, 48, 5, 0.79%, 1, 0, 3, 156.01
1585230627, 0, 11, 50, 48, 4, 0.79%, 2, 0, 3, 175.86
1585230632, 0, 15, 50, 47, 3, 0.79%, 2, 0, 3, 188.36
1585230637, 0, 19, 50, 46, 2, 0.79%, 3, 0, 3, 180.19
1585230642, 0, 39, 51, 46, 1, 0.79%, 3, 0, 3, 190.32
1585230647, 1, 0, 52, 46, 0, 0.79%, 3, 0, 3, 189.48
1585230652, 1, 5, 52, 46, 0, 0.79%, 3, 0, 3, 191.41
1585230662, 1, 11, 52, 45, 0, 0.79%, 3, 0, 3, 171.04
1585230667, 1, 15, 52, 45, 0, 0.79%, 3, 0, 3, 187.73
1585230673, 1, 19, 52, 45, 0, 0.79%, 4, 0, 3, 179.30
1585230678, 1, 31, 52, 45, 0, 0.79%, 4, 0, 3, 152.48
1585230683, 1, 32, 52, 44, 0, 0.79%, 5, 0, 3, 146.88
1585230688, 1, 39, 52, 43, 0, 0.79%, 6, 0, 3, 172.45
1585230693, 1, 40, 52, 43, 0, 0.79%, 6, 0, 3, 161.23
1585230698, 1, 42, 52, 42, 0, 0.79%, 6, 0, 3, 151.87
1585230703, 1, 46, 52, 40, 0, 0.79%, 6, 0, 3, 146.76
1585230709, 2, 0, 52, 39, 0, 0.79%, 6, 0, 3, 172.56
1585230714, 2, 4, 52, 38, 0, 0.79%, 6, 0, 3, 171.90
1585230719, 2, 5, 52, 37, 0, 0.79%, 6, 0, 3, 171.47
1585230724, 2, 6, 52, 37, 0, 0.79%, 6, 0, 3, 169.76
1585230734, 2, 9, 52, 36, 0, 0.79%, 6, 0, 3, 191.20
1585230739, 2, 11, 52, 35, 0, 0.79%, 6, 0, 3, 182.35
1585230744, 2, 12, 52, 35, 0, 0.79%, 6, 0, 3, 174.78
1585230750, 2, 13, 52, 34, 0, 0.79%, 6, 0, 3, 207.91
1585230755, 2, 15, 52, 33, 0, 0.79%, 6, 0, 3, 205.88
1585230760, 2, 19, 52, 33, 0, 0.79%, 6, 0, 3, 169.74
1585230765, 2, 21, 52, 32, 0, 0.79%, 6, 0, 3, 165.37
1585230770, 2, 24, 52, 31, 0, 0.79%, 6, 0, 3, 185.47
1585230775, 2, 25, 52, 30, 0, 0.79%, 6, 0, 3, 199.61
1585230780, 2, 27, 52, 29, 0, 0.79%, 6, 0, 3, 186.74
1585230785, 2, 29, 52, 28, 0, 0.79%, 6, 0, 3, 191.73
1585230790, 2, 38, 52, 27, 0, 0.79%, 6, 0, 3, 168.95
1585230796, 2, 39, 52, 26, 0, 0.79%, 6, 0, 3, 187.12
1585230801, 2, 46, 52, 26, 0, 0.79%, 6, 0, 3, 168.86
1585230806, 2, 48, 52, 26, 0, 0.79%, 6, 0, 3, 155.31
