# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585230546, 0, 0, 1, 1, 1, 0.71%, 0, 0, 1, 275.86
1585230552, 0, 0, 8, 8, 1, 0.79%, 0, 0, 2, 338.59
1585230572, 0, 0, 42, 42, 1, 0.79%, 0, 0, 2, 248.23
1585230577, 0, 0, 44, 44, 1, 0.79%, 1, 0, 2, 252.75
1585230582, 0, 0, 45, 45, 1, 0.79%, 2, 0, 2, 246.05
1585230587, 0, 0, 46, 46, 1, 0.79%, 2, 0, 2, 244.22
1585230607, 0, 0, 46, 46, 1, 0.79%, 3, 0, 2, 250.51
1585230617, 0, 0, 46, 46, 1, 0.79%, 4, 0, 2, 254.32
1585230622, 0, 0, 47, 47, 1, 0.79%, 4, 0, 2, 254.86
1585230632, 0, 0, 49, 49, 1, 0.79%, 4, 0, 2, 245.36
1585230658, 0, 0, 50, 50, 1, 0.79%, 4, 0, 2, 243.19
1585230663, 0, 0, 51, 51, 1, 0.79%, 4, 0, 2, 231.69
1585230678, 0, 0, 52, 52, 1, 0.79%, 4, 0, 2, 242.04
1585230704, 0, 6, 52, 51, 5, 0.79%, 4, 0, 2, 287.69
1585230734, 0, 7, 52, 50, 4, 0.79%, 4, 0, 2, 321.80
1585230759, 0, 14, 52, 49, 3, 0.79%, 4, 0, 2, 305.72
1585230770, 0, 24, 52, 48, 2, 0.79%, 4, 0, 2, 192.78
1585230795, 0, 46, 52, 47, 1, 0.79%, 4, 0, 2, 203.61
1585230836, 0, 46, 53, 48, 1, 0.79%, 4, 0, 3, 295.98
1585230846, 1, 10, 53, 47, 0, 0.79%, 4, 0, 3, 277.88
1585230851, 1, 11, 53, 46, 0, 0.79%, 4, 0, 3, 258.48
1585230866, 1, 12, 53, 45, 0, 0.79%, 4, 0, 3, 333.84
1585230882, 1, 15, 53, 44, 0, 0.79%, 4, 0, 3, 321.91
1585230892, 1, 19, 53, 43, 0, 0.79%, 4, 0, 3, 168.20
1585230959, 1, 19, 53, 43, 0, 0.79%, 5, 0, 3, 151.96
1585230964, 1, 21, 53, 42, 0, 0.79%, 5, 0, 3, 174.29
1585230969, 1, 25, 53, 41, 0, 0.79%, 5, 0, 3, 246.25
1585231005, 1, 27, 53, 40, 0, 0.79%, 5, 0, 3, 312.95
1585231056, 1, 27, 55, 42, 0, 0.79%, 5, 0, 3, 261.63
1585231071, 1, 27, 56, 43, 0, 0.79%, 5, 0, 3, 210.20
1585231106, 1, 27, 56, 43, 0, 0.79%, 6, 0, 3, 213.84
1585231117, 1, 30, 56, 42, 0, 0.79%, 6, 0, 3, 150.46
1585231178, 1, 30, 56, 42, 0, 0.79%, 7, 0, 3, 140.66
