# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315042, 0, 0, 1, 1, 1, 0.67%, 0, 0, 1, 500.00
1585315047, 0, 0, 34, 34, 1, 0.73%, 0, 0, 2, 695.15
1585315052, 0, 0, 39, 39, 1, 0.73%, 0, 0, 2, 724.78
1585315057, 0, 25, 45, 40, 4, 0.73%, 0, 0, 3, 760.45
1585315062, 0, 37, 50, 41, 0, 0.73%, 0, 0, 3, 754.22
1585315067, 1, 9, 50, 36, 0, 0.73%, 0, 0, 3, 769.87
1585315072, 1, 24, 53, 35, 0, 0.73%, 0, 0, 3, 753.30
1585315077, 1, 36, 54, 33, 0, 0.73%, 0, 0, 3, 768.88
1585315082, 2, 6, 55, 30, 0, 0.73%, 0, 0, 4, 756.53
1585315087, 2, 20, 55, 27, 0, 0.73%, 0, 0, 4, 644.97
1585315092, 2, 28, 55, 25, 0, 0.73%, 0, 0, 4, 702.90
1585315098, 2, 36, 55, 22, 0, 0.73%, 0, 0, 4, 707.02
1585315103, 2, 52, 56, 21, 0, 0.73%, 0, 0, 4, 638.93
1585315108, 3, 14, 56, 19, 0, 0.73%, 0, 0, 4, 683.22
1585315113, 3, 31, 56, 17, 0, 0.73%, 0, 0, 4, 741.40
1585315118, 4, 3, 56, 15, 0, 0.73%, 0, 0, 4, 726.98
1585315123, 4, 31, 56, 14, 0, 0.73%, 0, 0, 4, 748.09
1585315128, 4, 49, 58, 15, 0, 0.73%, 0, 0, 4, 731.16
1585315134, 4, 57, 60, 16, 0, 0.73%, 0, 0, 5, 747.48
1585315139, 4, 57, 62, 18, 0, 0.73%, 0, 0, 5, 752.42
1585315144, 4, 57, 63, 19, 0, 0.73%, 0, 0, 5, 657.91
1585315149, 4, 59, 63, 18, 0, 0.73%, 0, 0, 5, 641.75
1585315159, 5, 25, 63, 16, 0, 0.73%, 0, 0, 5, 765.28
1585315164, 5, 49, 63, 15, 0, 0.73%, 0, 0, 5, 749.94
1585315169, 6, 3, 63, 14, 0, 0.73%, 0, 0, 5, 734.06
1585315174, 6, 33, 63, 14, 0, 0.73%, 0, 0, 5, 700.09
1585315179, 6, 62, 63, 14, 0, 0.73%, 0, 0, 5, 682.97
1585315184, 7, 3, 63, 13, 0, 0.73%, 0, 0, 5, 653.99
1585315190, 7, 31, 63, 12, 0, 0.73%, 0, 0, 5, 591.22
1585315195, 7, 50, 63, 12, 0, 0.73%, 0, 0, 5, 711.16
1585315200, 7, 60, 63, 10, 0, 0.73%, 0, 0, 5, 711.82
1585315210, 7, 61, 63, 9, 0, 0.73%, 0, 0, 5, 708.85
1585315220, 8, 25, 63, 7, 0, 0.73%, 0, 0, 5, 664.46
1585315225, 8, 36, 63, 6, 0, 0.73%, 0, 0, 5, 738.32
1585315230, 8, 58, 63, 6, 0, 0.73%, 0, 0, 5, 718.96
1585315236, 9, 17, 63, 5, 0, 0.73%, 0, 0, 5, 737.61
