# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315025, 0, 0, 1, 1, 1, 0.67%, 0, 0, 1, 470.59
1585315030, 0, 0, 6, 6, 1, 0.70%, 0, 0, 2, 726.12
1585315035, 0, 0, 37, 37, 1, 0.73%, 0, 0, 2, 758.09
1585315040, 0, 0, 42, 42, 1, 0.73%, 0, 0, 2, 717.33
1585315045, 0, 0, 44, 44, 1, 0.73%, 0, 0, 2, 744.02
1585315050, 0, 0, 45, 45, 1, 0.73%, 0, 0, 2, 760.32
1585315055, 0, 0, 47, 47, 1, 0.73%, 0, 0, 2, 758.66
1585315061, 0, 0, 49, 49, 1, 0.73%, 0, 0, 2, 763.67
1585315066, 0, 0, 50, 50, 1, 0.73%, 0, 0, 2, 758.22
1585315081, 0, 14, 50, 48, 6, 0.73%, 0, 0, 2, 770.15
1585315086, 0, 16, 50, 47, 5, 0.73%, 0, 0, 2, 715.53
1585315096, 0, 25, 50, 45, 3, 0.73%, 0, 0, 2, 725.48
1585315106, 0, 34, 50, 44, 2, 0.73%, 0, 0, 2, 662.37
1585315111, 0, 35, 50, 43, 1, 0.73%, 0, 0, 2, 603.88
1585315121, 0, 46, 51, 43, 0, 0.73%, 0, 0, 3, 725.89
1585315147, 1, 5, 51, 42, 0, 0.73%, 0, 0, 3, 706.06
1585315157, 1, 13, 51, 41, 0, 0.73%, 0, 0, 3, 740.88
1585315162, 1, 15, 51, 40, 0, 0.73%, 0, 0, 3, 753.57
1585315167, 1, 29, 51, 39, 0, 0.73%, 0, 0, 3, 773.70
1585315177, 1, 31, 51, 38, 0, 0.73%, 0, 0, 3, 745.42
1585315198, 1, 39, 51, 37, 0, 0.73%, 0, 0, 3, 687.26
1585315223, 1, 40, 51, 36, 0, 0.73%, 0, 0, 3, 735.08
1585315244, 1, 42, 51, 35, 0, 0.73%, 0, 0, 3, 700.34
1585315249, 1, 42, 52, 36, 0, 0.73%, 0, 0, 3, 752.09
1585315254, 1, 42, 53, 37, 0, 0.73%, 0, 0, 3, 736.16
1585315259, 1, 47, 53, 36, 0, 0.73%, 0, 0, 3, 717.11
1585315264, 1, 47, 54, 37, 0, 0.73%, 0, 0, 3, 747.45
1585315269, 1, 49, 55, 37, 0, 0.73%, 0, 0, 3, 724.64
1585315285, 1, 50, 55, 36, 0, 0.73%, 0, 0, 3, 740.12
1585315310, 1, 51, 55, 35, 0, 0.73%, 0, 0, 3, 707.34
1585315325, 2, 3, 55, 34, 0, 0.73%, 0, 0, 3, 701.00
1585315336, 2, 7, 55, 33, 0, 0.73%, 0, 0, 3, 667.53
1585315346, 2, 9, 55, 32, 0, 0.73%, 0, 0, 3, 735.87
1585315351, 2, 10, 55, 32, 0, 0.73%, 0, 0, 3, 733.71
1585315361, 2, 17, 55, 31, 0, 0.73%, 0, 0, 3, 754.31
1585315371, 2, 20, 55, 30, 0, 0.73%, 0, 0, 3, 734.34
1585315376, 2, 22, 55, 29, 0, 0.73%, 0, 0, 3, 708.61
1585315381, 2, 33, 55, 28, 0, 0.73%, 0, 0, 3, 750.69
1585315392, 2, 34, 55, 27, 0, 0.73%, 0, 0, 3, 675.27
1585315397, 2, 36, 55, 27, 0, 0.73%, 0, 0, 3, 740.37
1585315407, 2, 41, 55, 26, 0, 0.73%, 0, 0, 3, 750.13
1585315427, 2, 54, 55, 25, 0, 0.73%, 0, 0, 3, 740.09
1585315448, 2, 54, 56, 26, 0, 0.73%, 0, 0, 4, 738.52
1585315463, 3, 1, 57, 26, 0, 0.73%, 0, 0, 4, 699.45
1585315478, 3, 2, 57, 25, 0, 0.73%, 0, 0, 4, 727.24
1585315488, 3, 23, 57, 24, 0, 0.73%, 0, 0, 4, 715.94
1585315508, 3, 32, 57, 23, 0, 0.73%, 0, 0, 4, 716.62
