# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315038, 0, 0, 1, 1, 1, 0.38%, 0, 0, 1, 1333.33
1585315043, 0, 14, 38, 34, 4, 0.41%, 0, 0, 3, 2023.27
1585315049, 1, 26, 41, 26, 0, 0.41%, 0, 0, 3, 2161.48
1585315054, 2, 18, 44, 20, 0, 0.41%, 0, 0, 4, 2094.35
1585315059, 3, 23, 47, 18, 0, 0.41%, 0, 0, 4, 2140.66
1585315064, 4, 9, 50, 16, 0, 0.41%, 0, 0, 5, 2042.41
1585315069, 5, 9, 51, 14, 0, 0.41%, 0, 0, 5, 1998.89
1585315074, 6, 14, 51, 11, 0, 0.41%, 0, 0, 5, 2069.54
1585315080, 7, 39, 51, 8, 0, 0.41%, 0, 0, 5, 1990.20
1585315085, 8, 50, 51, 7, 0, 0.41%, 0, 0, 5, 1996.24
1585315090, 9, 34, 52, 7, 0, 0.41%, 0, 0, 5, 1966.25
1585315095, 10, 33, 52, 4, 0, 0.41%, 0, 0, 5, 1894.14
1585315100, 11, 33, 53, 4, 0, 0.41%, 0, 0, 5, 2050.31
1585315105, 12, 14, 53, 3, 0, 0.41%, 0, 0, 5, 1989.21
1585315110, 14, 14, 53, 3, 0, 0.41%, 0, 0, 5, 1970.53
1585315115, 15, 24, 53, 1, 0, 0.41%, 0, 0, 5, 1919.30
1585315120, 17, 12, 53, 1, 0, 0.41%, 0, 0, 5, 1925.89
1585315125, 17, 45, 53, 0, 0, 0.41%, 0, 0, 5, 2052.14
1585315130, 19, 5, 53, 0, 0, 0.41%, 0, 0, 5, 2054.41
1585315136, 20, 32, 53, 0, 0, 0.41%, 0, 0, 5, 1991.42
1585315141, 21, 51, 53, 0, 0, 0.41%, 0, 0, 5, 2028.43
1585315146, 23, 13, 53, 0, 0, 0.41%, 0, 0, 5, 2061.80
1585315151, 24, 34, 53, 0, 0, 0.41%, 0, 0, 5, 1993.48
1585315156, 26, 13, 53, 0, 0, 0.41%, 0, 0, 5, 2037.63
1585315161, 27, 35, 53, 0, 0, 0.41%, 0, 0, 5, 1806.43
1585315166, 29, 3, 53, 0, 0, 0.41%, 0, 0, 5, 1610.57
1585315171, 30, 13, 53, 0, 0, 0.41%, 0, 0, 5, 1929.57
1585315177, 31, 30, 53, 0, 0, 0.41%, 0, 0, 5, 2014.22
1585315182, 33, 33, 53, 0, 0, 0.41%, 0, 0, 5, 2030.21
1585315187, 35, 13, 53, 0, 0, 0.41%, 0, 0, 5, 2105.48
1585315192, 36, 34, 53, 0, 0, 0.41%, 0, 0, 5, 1869.97
1585315197, 37, 49, 53, 0, 0, 0.41%, 0, 0, 5, 1810.27
1585315202, 39, 14, 53, 0, 0, 0.41%, 0, 0, 5, 1830.33
1585315207, 40, 34, 53, 0, 0, 0.41%, 0, 0, 5, 1913.54
1585315212, 42, 13, 53, 0, 0, 0.41%, 0, 0, 5, 1649.92
1585315217, 43, 30, 53, 0, 0, 0.41%, 0, 0, 5, 1960.29
1585315222, 45, 14, 53, 0, 0, 0.41%, 0, 0, 5, 2027.54
1585315228, 46, 15, 54, 1, 0, 0.41%, 0, 0, 5, 1943.44
1585315233, 48, 5, 54, 0, 0, 0.41%, 0, 0, 5, 1963.37
1585315238, 49, 27, 54, 0, 0, 0.41%, 0, 0, 5, 1939.84
1585315243, 50, 48, 54, 0, 0, 0.41%, 0, 0, 5, 1692.26
1585315248, 51, 34, 54, 0, 0, 0.41%, 0, 0, 5, 1853.27
1585315253, 53, 14, 54, 0, 0, 0.41%, 0, 0, 5, 1977.49
1585315258, 55, 9, 54, 0, 0, 0.41%, 0, 0, 5, 2044.45
1585315263, 57, 11, 54, 0, 0, 0.41%, 0, 0, 5, 2072.89
1585315269, 58, 41, 54, 0, 0, 0.41%, 0, 0, 5, 1970.73
1585315274, 60, 33, 54, 0, 0, 0.41%, 0, 0, 5, 2059.67
1585315279, 62, 14, 54, 0, 0, 0.41%, 0, 0, 5, 2086.55
1585315284, 63, 33, 54, 0, 0, 0.41%, 0, 0, 5, 2125.72
1585315289, 64, 15, 54, 0, 0, 0.41%, 0, 0, 5, 1739.51
1585315294, 65, 33, 54, 0, 0, 0.41%, 0, 0, 5, 1830.32
1585315299, 66, 52, 54, 0, 0, 0.41%, 0, 0, 5, 2044.74
