# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315027, 0, 0, 1, 1, 1, 0.38%, 0, 0, 1, 1142.86
1585315033, 0, 0, 33, 33, 1, 0.41%, 0, 0, 2, 1714.39
1585315038, 0, 0, 36, 36, 1, 0.41%, 0, 0, 2, 1809.56
1585315048, 0, 0, 40, 40, 1, 0.41%, 0, 0, 2, 1938.71
1585315053, 0, 5, 40, 38, 6, 0.41%, 0, 0, 2, 1915.01
1585315058, 0, 15, 40, 36, 4, 0.41%, 0, 0, 2, 2047.95
1585315063, 0, 18, 41, 36, 4, 0.41%, 0, 0, 3, 1941.05
1585315068, 0, 32, 41, 34, 2, 0.41%, 0, 0, 3, 1824.77
1585315073, 0, 35, 42, 34, 1, 0.41%, 0, 0, 3, 1964.45
1585315078, 1, 4, 42, 33, 0, 0.41%, 0, 0, 3, 1937.28
1585315083, 1, 7, 42, 32, 0, 0.41%, 0, 0, 3, 1801.14
1585315088, 1, 10, 42, 31, 0, 0.41%, 0, 0, 3, 1778.16
1585315093, 1, 21, 42, 30, 0, 0.41%, 0, 0, 3, 1814.72
1585315098, 1, 24, 44, 31, 0, 0.41%, 0, 0, 3, 1812.92
1585315104, 1, 24, 45, 32, 0, 0.41%, 0, 0, 3, 1861.22
1585315109, 1, 26, 45, 31, 0, 0.41%, 0, 0, 3, 1638.84
1585315114, 1, 28, 45, 30, 0, 0.41%, 0, 0, 3, 1649.47
1585315119, 1, 33, 45, 29, 0, 0.41%, 0, 0, 3, 1779.77
1585315124, 1, 37, 45, 28, 0, 0.41%, 0, 0, 3, 1688.96
1585315129, 1, 37, 46, 29, 0, 0.41%, 0, 0, 3, 1920.85
1585315134, 1, 43, 46, 28, 0, 0.41%, 0, 0, 3, 1825.90
1585315149, 1, 45, 48, 29, 0, 0.41%, 0, 0, 4, 1888.52
1585315159, 2, 6, 48, 28, 0, 0.41%, 0, 0, 4, 1838.65
1585315165, 2, 20, 48, 27, 0, 0.41%, 0, 0, 4, 1860.81
1585315170, 2, 25, 48, 26, 0, 0.41%, 0, 0, 4, 1992.19
1585315180, 2, 27, 48, 25, 0, 0.41%, 0, 0, 4, 1944.87
1585315185, 2, 34, 49, 25, 0, 0.41%, 0, 0, 4, 1966.04
1585315190, 2, 36, 49, 24, 0, 0.41%, 0, 0, 4, 1863.33
1585315200, 2, 39, 49, 23, 0, 0.41%, 0, 0, 4, 1745.45
1585315225, 2, 40, 50, 23, 0, 0.41%, 0, 0, 4, 1501.20
1585315235, 2, 49, 50, 22, 0, 0.41%, 0, 0, 4, 1835.97
1585315271, 3, 22, 50, 20, 0, 0.41%, 0, 0, 4, 1843.84
1585315276, 3, 27, 50, 19, 0, 0.41%, 0, 0, 4, 1993.49
1585315281, 3, 46, 50, 18, 0, 0.41%, 0, 0, 4, 1844.97
1585315301, 3, 46, 51, 19, 0, 0.41%, 0, 0, 5, 1754.83
1585315307, 3, 46, 52, 20, 0, 0.41%, 0, 0, 5, 1872.79
1585315312, 3, 46, 53, 21, 0, 0.41%, 0, 0, 5, 1912.46
1585315322, 3, 51, 53, 20, 0, 0.41%, 0, 0, 5, 1905.87
1585315342, 3, 53, 54, 20, 0, 0.41%, 0, 0, 6, 1941.38
1585315367, 4, 1, 54, 19, 0, 0.41%, 0, 0, 6, 2031.24
1585315372, 4, 27, 54, 17, 0, 0.41%, 0, 0, 6, 2053.65
1585315377, 5, 5, 54, 16, 0, 0.41%, 0, 0, 6, 1957.28
1585315382, 5, 38, 54, 15, 0, 0.41%, 0, 0, 6, 1979.18
1585315387, 5, 48, 54, 14, 0, 0.41%, 0, 0, 6, 2015.39
1585315397, 5, 52, 54, 13, 0, 0.41%, 0, 0, 6, 1906.19
1585315423, 6, 5, 54, 12, 0, 0.41%, 0, 0, 6, 1526.94
1585315428, 6, 29, 54, 11, 0, 0.41%, 0, 0, 6, 1878.98
1585315438, 6, 31, 54, 10, 0, 0.41%, 0, 0, 6, 1962.91
1585315443, 6, 42, 54, 9, 0, 0.41%, 0, 0, 6, 2005.59
1585315448, 6, 50, 54, 8, 0, 0.41%, 0, 0, 6, 1859.68
1585315474, 7, 11, 54, 7, 0, 0.41%, 0, 0, 6, 1926.82
1585315479, 7, 30, 54, 6, 0, 0.41%, 0, 0, 6, 1958.19
1585315484, 7, 52, 55, 6, 0, 0.41%, 0, 0, 6, 1969.42
1585315489, 8, 12, 55, 6, 0, 0.41%, 0, 0, 6, 1883.17
1585315494, 8, 44, 55, 5, 0, 0.41%, 0, 0, 6, 1872.54
1585315504, 8, 50, 55, 4, 0, 0.41%, 0, 0, 6, 1910.91
1585315509, 8, 54, 55, 4, 0, 0.41%, 0, 0, 6, 1734.52
1585315529, 9, 35, 55, 3, 0, 0.41%, 0, 0, 6, 1833.49
1585315534, 9, 47, 55, 3, 0, 0.41%, 0, 0, 6, 1728.37
1585315554, 9, 47, 56, 4, 0, 0.41%, 0, 0, 6, 1850.17
1585315559, 9, 55, 56, 3, 0, 0.41%, 0, 0, 6, 1882.57
1585315590, 10, 25, 56, 0, 0, 0.41%, 0, 0, 6, 1970.01
1585315595, 12, 3, 56, 0, 0, 0.41%, 0, 0, 6, 2004.10
1585315600, 13, 35, 56, 0, 0, 0.41%, 0, 0, 6, 1988.52
1585315605, 14, 3, 56, 0, 0, 0.41%, 0, 0, 6, 1836.05
1585315610, 15, 23, 56, 0, 0, 0.41%, 0, 0, 6, 1923.70
1585315615, 17, 8, 56, 0, 0, 0.41%, 0, 0, 6, 1946.45
1585315620, 18, 43, 56, 0, 0, 0.41%, 0, 0, 6, 1952.89
1585315625, 19, 47, 56, 0, 0, 0.41%, 0, 0, 6, 1873.69
1585315630, 20, 41, 67, 11, 0, 0.41%, 0, 0, 6, 1569.11
1585315636, 20, 57, 67, 11, 0, 0.41%, 0, 1, 6, 1368.63
1585315839, 20, 61, 67, 10, 0, 0.41%, 0, 2, 6, 1874.05
1585316366, 20, 61, 69, 12, 0, 0.41%, 0, 2, 6, 1391.52
1585316376, 20, 62, 69, 11, 0, 0.41%, 0, 2, 6, 1117.67
1585316514, 20, 64, 69, 10, 0, 0.41%, 0, 2, 6, 1569.13
