# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585233212, 0, 0, 1, 1, 1, 15.53%, 0, 0, 1, 7.71
1585233285, 0, 0, 4, 4, 1, 15.80%, 0, 0, 2, 5.27
1585233290, 0, 0, 6, 6, 1, 16.35%, 0, 0, 2, 5.74
1585233295, 0, 0, 9, 9, 1, 17.11%, 0, 0, 2, 5.49
1585233300, 0, 0, 11, 11, 1, 17.64%, 0, 0, 2, 5.98
1585233305, 0, 0, 15, 15, 1, 18.24%, 0, 0, 2, 6.49
1585233311, 0, 0, 18, 18, 1, 18.24%, 0, 0, 2, 6.27
1585233316, 0, 0, 20, 20, 1, 18.24%, 0, 0, 2, 6.32
1585233321, 0, 0, 22, 22, 1, 18.24%, 0, 0, 2, 5.45
1585233352, 0, 0, 23, 23, 1, 18.24%, 0, 0, 2, 5.98
1585233357, 0, 0, 24, 24, 1, 18.24%, 0, 0, 2, 5.44
1585233363, 0, 0, 26, 26, 1, 18.54%, 0, 0, 2, 5.27
1585233373, 0, 0, 27, 27, 1, 18.62%, 0, 0, 2, 3.96
1585233378, 0, 0, 28, 28, 1, 18.62%, 0, 0, 2, 4.09
1585233383, 0, 0, 29, 29, 1, 18.62%, 0, 0, 2, 4.73
1585233435, 0, 0, 30, 30, 1, 18.62%, 0, 0, 2, 5.37
1585233446, 0, 0, 31, 31, 1, 18.62%, 0, 0, 2, 6.39
1585233492, 0, 0, 32, 32, 1, 18.62%, 0, 0, 2, 5.54
1585233529, 0, 0, 34, 34, 1, 18.62%, 0, 0, 2, 5.43
1585233534, 0, 0, 36, 36, 1, 18.62%, 0, 0, 2, 5.52
1585233539, 0, 0, 37, 37, 1, 18.62%, 0, 0, 2, 5.27
1585233550, 0, 0, 38, 38, 1, 18.62%, 0, 0, 2, 4.38
1585233555, 0, 0, 40, 40, 1, 18.62%, 0, 0, 2, 5.09
1585233560, 0, 0, 41, 41, 1, 18.62%, 0, 0, 2, 4.78
1585233565, 0, 0, 42, 42, 1, 18.62%, 0, 0, 2, 5.87
1585233571, 0, 0, 43, 43, 1, 18.62%, 0, 0, 2, 6.08
1585233576, 0, 0, 44, 44, 1, 18.62%, 0, 0, 2, 5.39
1585233581, 0, 0, 45, 45, 1, 18.62%, 0, 0, 2, 5.27
1585233586, 0, 0, 46, 46, 1, 18.62%, 0, 0, 2, 5.63
1585233591, 0, 0, 47, 47, 1, 18.62%, 0, 0, 2, 6.13
1585233602, 0, 0, 48, 48, 1, 18.62%, 0, 0, 2, 5.47
1585233612, 0, 0, 49, 49, 1, 18.62%, 0, 0, 2, 4.55
1585233617, 0, 0, 50, 50, 1, 18.62%, 0, 0, 2, 5.09
1585233648, 0, 0, 52, 52, 1, 18.64%, 0, 0, 2, 5.74
1585233664, 0, 5, 52, 51, 10, 18.64%, 0, 0, 2, 4.99
1585233767, 0, 5, 53, 52, 10, 18.64%, 0, 0, 3, 4.53
1585233777, 0, 5, 55, 54, 10, 18.64%, 1, 0, 3, 5.40
1585233787, 0, 5, 56, 55, 10, 18.64%, 1, 0, 3, 5.99
1585233798, 0, 5, 58, 57, 10, 18.64%, 1, 0, 3, 4.88
1585233859, 0, 5, 59, 58, 10, 18.64%, 1, 0, 3, 4.58
1585233901, 0, 8, 59, 57, 9, 18.64%, 1, 0, 3, 3.59
1585234015, 0, 15, 59, 56, 9, 18.64%, 1, 0, 3, 5.10
1585234107, 0, 17, 59, 55, 8, 18.64%, 1, 0, 3, 5.13
1585234169, 0, 17, 60, 56, 8, 18.64%, 1, 0, 3, 4.30
1585234200, 0, 30, 60, 55, 7, 18.64%, 1, 0, 3, 3.72
1585234293, 0, 30, 61, 56, 7, 18.64%, 1, 0, 3, 5.83
1585234344, 0, 31, 61, 55, 6, 18.64%, 1, 0, 3, 5.48
1585234458, 0, 41, 61, 54, 5, 18.64%, 1, 0, 3, 5.26
1585234592, 0, 42, 61, 53, 4, 18.64%, 1, 0, 3, 4.51
1585234731, 0, 46, 61, 52, 3, 18.64%, 1, 0, 3, 5.07
1585234855, 0, 51, 61, 51, 2, 18.64%, 1, 0, 3, 5.97
1585234881, 0, 54, 61, 50, 1, 18.64%, 1, 0, 3, 4.98
1585235004, 1, 0, 61, 49, 0, 18.64%, 1, 0, 3, 4.47
1585235056, 1, 5, 61, 49, 0, 18.64%, 1, 0, 3, 6.29
1585235113, 1, 7, 61, 49, 0, 18.64%, 1, 0, 3, 4.89
1585235248, 1, 8, 61, 48, 0, 18.64%, 1, 0, 3, 3.81
1585235300, 1, 10, 61, 48, 0, 18.64%, 1, 0, 3, 5.18
1585235430, 1, 14, 61, 47, 0, 18.64%, 1, 0, 3, 3.89
1585235522, 1, 14, 62, 48, 0, 18.64%, 1, 0, 3, 4.62
1585235528, 1, 14, 63, 49, 0, 18.64%, 1, 0, 3, 5.45
1585235543, 1, 18, 63, 48, 3, 18.64%, 1, 0, 3, 6.34
1585235671, 1, 61, 63, 47, 2, 18.64%, 1, 0, 3, 5.89
1585235795, 2, 13, 63, 46, 1, 18.64%, 1, 0, 3, 5.02
