# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585232663, 0, 0, 1, 1, 1, 15.53%, 0, 0, 1, 6.43
1585232730, 0, 0, 2, 2, 1, 15.87%, 0, 0, 2, 7.22
1585232736, 0, 0, 3, 3, 1, 16.21%, 0, 0, 2, 6.56
1585232788, 0, 0, 5, 5, 1, 16.57%, 0, 0, 2, 7.95
1585232793, 0, 0, 6, 6, 1, 16.92%, 0, 0, 2, 8.56
1585233061, 0, 0, 6, 6, 1, 16.92%, 0, 1, 2, 2.18
1585233179, 0, 0, 7, 7, 1, 17.25%, 0, 1, 2, 6.67
1585233185, 0, 0, 8, 8, 1, 17.60%, 0, 1, 2, 6.10
1585233190, 0, 0, 9, 9, 1, 17.95%, 0, 1, 2, 7.47
1585233200, 0, 0, 10, 10, 1, 18.28%, 0, 1, 2, 7.59
1585233215, 0, 0, 11, 11, 1, 18.62%, 0, 1, 2, 7.81
1585233251, 0, 0, 12, 12, 1, 18.62%, 0, 1, 2, 3.12
1585233267, 0, 0, 13, 13, 1, 18.62%, 0, 1, 2, 6.58
1585233272, 0, 0, 14, 14, 1, 18.62%, 0, 1, 2, 6.44
1585233318, 0, 0, 15, 15, 1, 18.62%, 0, 1, 2, 6.01
1585233772, 0, 0, 16, 16, 1, 18.62%, 0, 1, 2, 5.00
1585236506, 0, 0, 17, 17, 1, 18.62%, 0, 1, 2, 5.84
1585238659, 0, 0, 17, 17, 1, 18.62%, 1, 1, 2, 7.24
1585249551, 0, 0, 18, 18, 1, 18.62%, 1, 1, 2, 6.23
1585251086, 0, 0, 20, 20, 1, 18.62%, 1, 1, 2, 6.43
1585251091, 0, 0, 21, 21, 1, 18.62%, 1, 1, 2, 6.43
1585251096, 0, 0, 23, 23, 1, 18.62%, 1, 1, 2, 6.79
1585251101, 0, 0, 24, 24, 1, 18.62%, 1, 1, 2, 7.12
1585251106, 0, 0, 26, 26, 1, 18.62%, 1, 1, 2, 6.73
1585251111, 0, 0, 27, 27, 1, 18.62%, 1, 1, 2, 6.89
1585251126, 0, 0, 28, 28, 1, 18.62%, 1, 1, 2, 5.96
1585251142, 0, 0, 30, 30, 1, 18.62%, 1, 1, 2, 6.76
1585251162, 0, 0, 31, 31, 1, 18.62%, 1, 1, 2, 6.92
1585251172, 0, 0, 32, 32, 1, 18.62%, 1, 1, 2, 6.35
1585251209, 0, 0, 33, 33, 1, 18.62%, 1, 1, 2, 4.11
1585251214, 0, 0, 34, 34, 1, 18.62%, 1, 1, 2, 4.76
1585251224, 0, 0, 36, 36, 1, 18.64%, 1, 1, 2, 6.82
1585251234, 0, 0, 38, 38, 1, 18.64%, 1, 1, 2, 6.81
1585251255, 0, 0, 39, 39, 1, 18.64%, 1, 1, 2, 6.97
1585251353, 0, 0, 40, 40, 1, 18.64%, 1, 1, 2, 6.83
1585251425, 0, 0, 41, 41, 1, 18.64%, 1, 1, 2, 6.32
1585251652, 0, 1, 41, 40, 15, 18.64%, 1, 1, 2, 6.91
1585252210, 0, 1, 42, 41, 15, 18.64%, 1, 1, 3, 6.48
1585253696, 0, 1, 43, 42, 15, 18.64%, 1, 1, 3, 5.95
1585257243, 0, 1, 43, 42, 15, 18.64%, 2, 1, 3, 3.18
1585269999, 0, 4, 43, 41, 14, 18.64%, 2, 1, 3, 6.13
1585272181, 0, 4, 43, 41, 14, 18.64%, 3, 1, 3, 6.81
1585274461, 0, 4, 43, 41, 14, 18.64%, 4, 1, 3, 6.04
1585281574, 0, 5, 43, 40, 13, 18.64%, 4, 1, 3, 6.49
1585283502, 0, 5, 44, 41, 13, 18.64%, 4, 1, 3, 4.61
1585287583, 0, 5, 44, 41, 13, 18.64%, 5, 1, 3, 5.53
1585298566, 0, 6, 44, 40, 12, 18.64%, 5, 1, 3, 6.29
1585304157, 0, 6, 44, 40, 12, 18.64%, 6, 1, 3, 5.19
1585312890, 0, 8, 44, 39, 11, 18.64%, 6, 1, 3, 7.71
1585313789, 0, 8, 45, 40, 11, 18.64%, 6, 1, 3, 8.02
1585316379, 0, 8, 45, 40, 11, 18.64%, 7, 1, 3, 4.32
1585321760, 0, 8, 46, 41, 11, 18.64%, 7, 1, 3, 7.40
1585321781, 0, 19, 46, 40, 11, 18.64%, 7, 1, 3, 7.34
1585322860, 0, 19, 46, 40, 11, 18.64%, 8, 1, 3, 6.29
1585325750, 0, 22, 46, 39, 9, 18.64%, 8, 1, 3, 7.66
1585330979, 0, 24, 46, 38, 8, 18.64%, 8, 1, 3, 7.38
1585331580, 0, 24, 47, 39, 8, 18.64%, 8, 1, 3, 5.91
1585335721, 0, 24, 48, 40, 8, 38.57%, 8, 1, 3, 4.61
1585343959, 0, 25, 48, 39, 9, 38.57%, 8, 1, 3, 4.59
1585350970, 0, 29, 48, 38, 8, 38.57%, 8, 1, 3, 7.86
1585351503, 0, 29, 49, 39, 8, 38.57%, 8, 1, 3, 4.89
1585359923, 0, 34, 49, 38, 8, 38.57%, 8, 1, 3, 4.94
1585365056, 0, 35, 49, 37, 7, 38.57%, 8, 1, 3, 8.28
1585365144, 0, 38, 49, 36, 6, 38.57%, 8, 1, 3, 7.83
1585365201, 0, 38, 50, 37, 6, 38.57%, 8, 1, 3, 6.94
1585365252, 0, 38, 51, 38, 6, 38.57%, 8, 1, 3, 4.20
1585365655, 0, 38, 52, 39, 6, 38.57%, 8, 1, 3, 4.41
1585374409, 0, 38, 53, 40, 6, 38.57%, 8, 1, 3, 4.76
1585374425, 0, 40, 53, 39, 6, 38.57%, 8, 1, 3, 6.09
1585374497, 0, 40, 54, 40, 6, 38.57%, 8, 1, 3, 6.32
1585374956, 0, 40, 55, 41, 6, 38.57%, 8, 1, 3, 6.62
1585385445, 0, 40, 56, 42, 6, 38.57%, 8, 1, 3, 5.21
1585385471, 0, 44, 56, 41, 5, 38.57%, 8, 1, 3, 6.89
1585385549, 0, 44, 57, 42, 5, 38.57%, 8, 1, 4, 7.43
1585389275, 0, 44, 57, 42, 5, 38.57%, 9, 1, 4, 6.32
1585394258, 0, 45, 57, 41, 4, 38.57%, 9, 1, 4, 7.45
1585394361, 0, 45, 58, 42, 4, 38.57%, 9, 1, 4, 7.20
1585394733, 0, 45, 59, 43, 4, 38.57%, 9, 1, 4, 7.18
1585394738, 0, 45, 60, 44, 4, 38.57%, 9, 1, 4, 7.12
1585394748, 0, 45, 61, 45, 4, 38.57%, 9, 1, 4, 6.42
1585404041, 0, 47, 61, 44, 3, 38.57%, 9, 1, 4, 6.71
1585404097, 0, 47, 62, 45, 3, 38.58%, 9, 1, 4, 5.67
1585404108, 0, 47, 63, 46, 3, 38.58%, 9, 1, 4, 4.78
1585404118, 0, 47, 64, 47, 3, 38.58%, 9, 1, 4, 5.33
1585404171, 0, 47, 65, 48, 3, 38.58%, 9, 1, 4, 4.78
1585404176, 0, 47, 66, 49, 3, 38.58%, 9, 1, 4, 4.92
1585404181, 0, 47, 67, 50, 3, 38.58%, 9, 1, 4, 5.35
1585404605, 0, 47, 68, 51, 3, 38.58%, 9, 1, 4, 5.22
1585404610, 0, 47, 69, 52, 3, 38.58%, 9, 1, 4, 5.54
1585404615, 0, 47, 70, 53, 3, 38.58%, 9, 1, 4, 5.37
1585404636, 0, 47, 71, 54, 3, 38.58%, 9, 1, 4, 4.41
1585404657, 0, 47, 72, 55, 3, 38.58%, 9, 1, 4, 5.97
1585404693, 0, 47, 74, 57, 3, 38.96%, 9, 1, 4, 6.64
1585404698, 0, 47, 75, 58, 3, 39.35%, 9, 1, 4, 6.47
1585404749, 0, 47, 76, 59, 3, 39.69%, 9, 1, 4, 3.34
1585404760, 0, 47, 77, 60, 3, 40.06%, 9, 1, 4, 5.44
1585404816, 0, 47, 78, 61, 3, 40.14%, 9, 1, 4, 6.02
1585405209, 0, 47, 79, 62, 3, 40.28%, 9, 1, 4, 5.75
1585405215, 0, 47, 80, 63, 3, 40.65%, 9, 1, 4, 5.76
1585405220, 0, 47, 81, 64, 3, 41.08%, 9, 1, 4, 6.02
1585405236, 0, 47, 82, 65, 3, 41.46%, 9, 1, 4, 5.33
1585405267, 0, 47, 83, 66, 3, 41.81%, 9, 1, 4, 5.00
1585405954, 0, 47, 84, 67, 3, 41.97%, 9, 1, 4, 5.67
1585408003, 0, 47, 85, 68, 3, 42.08%, 9, 1, 4, 5.54
1585431028, 0, 47, 86, 69, 3, 42.08%, 11, 1, 4, 5.29
1585431033, 0, 47, 89, 72, 3, 42.08%, 11, 1, 4, 6.07
1585431038, 0, 47, 91, 74, 3, 42.08%, 11, 1, 4, 6.46
1585437027, 0, 47, 92, 75, 3, 42.08%, 11, 1, 4, 6.04
1585437032, 0, 47, 93, 76, 3, 42.08%, 11, 1, 4, 5.28
1585437136, 0, 47, 94, 77, 3, 42.08%, 11, 1, 4, 5.92
1585437152, 0, 47, 95, 78, 3, 42.08%, 11, 1, 4, 4.71
1585438063, 0, 47, 96, 79, 3, 42.08%, 11, 1, 4, 5.92
1585438078, 0, 47, 97, 80, 3, 42.08%, 11, 1, 4, 5.64
1585438109, 0, 47, 98, 81, 3, 42.08%, 11, 1, 4, 6.02
1585438155, 0, 47, 99, 82, 3, 42.08%, 11, 1, 4, 5.31
1585438244, 0, 47, 99, 82, 3, 42.08%, 12, 1, 4, 5.90
1585438249, 0, 47, 100, 83, 3, 42.08%, 12, 1, 4, 6.09
1585438254, 0, 47, 101, 84, 3, 42.08%, 12, 1, 4, 6.30
1585438275, 0, 47, 101, 84, 3, 42.08%, 13, 1, 4, 6.56
1585438280, 0, 47, 102, 85, 3, 42.08%, 13, 1, 4, 7.08
1585438295, 0, 47, 103, 86, 3, 42.08%, 13, 1, 4, 7.18
1585438316, 0, 47, 104, 87, 3, 42.08%, 13, 1, 4, 7.23
1585438331, 0, 47, 104, 87, 3, 42.08%, 14, 1, 4, 6.13
1585438357, 0, 47, 105, 88, 3, 42.08%, 14, 1, 4, 5.08
1585438398, 0, 47, 106, 89, 3, 42.08%, 14, 1, 4, 4.96
1585438408, 0, 47, 106, 89, 3, 42.08%, 15, 1, 4, 6.10
1585438444, 0, 47, 107, 90, 3, 42.08%, 15, 1, 4, 6.91
1585438449, 0, 47, 108, 91, 3, 42.08%, 15, 1, 4, 7.06
1585438486, 0, 47, 108, 91, 3, 42.08%, 16, 1, 4, 5.79
1585438496, 0, 47, 109, 92, 3, 42.08%, 16, 1, 4, 6.05
1585438506, 0, 47, 110, 93, 3, 42.08%, 16, 1, 4, 6.49
1585438527, 0, 47, 110, 93, 3, 42.08%, 17, 1, 4, 6.79
1585438532, 0, 47, 111, 94, 3, 42.08%, 17, 1, 4, 6.60
1585438615, 0, 47, 112, 95, 3, 42.08%, 17, 1, 4, 5.58
1585438790, 0, 47, 113, 96, 3, 42.09%, 17, 1, 4, 4.28
1585438795, 0, 54, 113, 95, 12, 42.09%, 17, 1, 4, 4.16
1585450206, 0, 72, 113, 94, 11, 42.09%, 17, 1, 4, 6.85
1585450830, 0, 72, 114, 95, 11, 42.09%, 17, 1, 5, 4.84
1585450850, 0, 72, 115, 96, 11, 42.09%, 17, 1, 5, 5.63
1585450964, 0, 72, 116, 97, 11, 42.09%, 17, 1, 5, 5.06
1585450969, 0, 72, 117, 98, 11, 42.09%, 17, 1, 5, 4.66
