# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585233201, 0, 0, 1, 1, 1, 14.54%, 0, 0, 1, 285.71
1585233206, 0, 0, 26, 26, 1, 16.44%, 0, 0, 2, 170.87
1585233211, 0, 0, 35, 35, 1, 16.65%, 0, 0, 2, 155.85
1585233216, 0, 0, 36, 36, 1, 16.65%, 0, 0, 2, 161.91
1585233226, 0, 0, 38, 38, 1, 16.65%, 0, 0, 2, 175.58
1585233232, 0, 0, 41, 41, 1, 16.65%, 0, 0, 2, 170.87
1585233237, 0, 0, 42, 42, 1, 16.65%, 0, 0, 2, 169.03
1585233247, 0, 0, 43, 43, 1, 16.65%, 0, 0, 2, 168.78
1585233252, 0, 0, 44, 44, 1, 16.65%, 0, 0, 2, 176.22
1585233262, 0, 1, 44, 43, 19, 16.65%, 0, 0, 2, 227.72
1585233267, 0, 1, 46, 45, 19, 16.65%, 0, 0, 3, 120.96
1585233273, 0, 1, 49, 48, 19, 16.65%, 0, 0, 3, 85.99
1585233278, 0, 1, 50, 49, 19, 16.65%, 0, 0, 3, 78.18
1585233288, 0, 4, 50, 48, 18, 16.65%, 0, 0, 3, 135.94
1585233298, 0, 5, 50, 47, 17, 16.65%, 0, 0, 3, 134.73
1585233303, 0, 7, 50, 46, 16, 16.65%, 0, 0, 3, 102.28
1585233313, 0, 9, 50, 45, 15, 16.65%, 0, 0, 3, 133.09
1585233323, 0, 10, 51, 45, 14, 16.65%, 0, 0, 3, 117.35
1585233328, 0, 11, 51, 44, 13, 16.65%, 0, 0, 3, 149.97
1585233339, 0, 12, 51, 43, 12, 16.65%, 0, 0, 3, 147.37
1585233344, 0, 13, 52, 43, 11, 16.65%, 0, 0, 3, 156.62
1585233354, 0, 15, 52, 42, 10, 16.65%, 0, 0, 3, 95.63
1585233359, 0, 15, 52, 42, 10, 16.65%, 1, 0, 3, 104.95
1585233364, 0, 18, 52, 41, 9, 16.65%, 1, 0, 3, 90.34
1585233380, 0, 19, 52, 40, 8, 16.65%, 1, 0, 3, 79.98
1585233390, 0, 26, 52, 39, 7, 16.65%, 2, 0, 3, 112.22
1585233395, 0, 27, 52, 38, 6, 16.65%, 2, 0, 3, 83.40
1585233411, 0, 29, 52, 37, 5, 16.65%, 2, 0, 3, 71.16
1585233426, 0, 36, 52, 36, 4, 16.65%, 2, 0, 3, 101.75
1585233436, 0, 43, 52, 35, 3, 16.65%, 2, 0, 3, 119.44
1585233446, 0, 44, 53, 35, 2, 16.65%, 2, 0, 3, 92.55
1585233456, 0, 45, 53, 34, 1, 16.65%, 2, 0, 3, 102.60
1585233472, 1, 0, 53, 33, 0, 16.65%, 2, 0, 3, 157.51
1585233487, 1, 1, 53, 33, 0, 16.65%, 2, 0, 3, 216.25
1585233502, 1, 4, 53, 33, 0, 16.65%, 2, 0, 3, 111.26
1585233512, 1, 5, 53, 33, 0, 16.65%, 2, 0, 3, 104.56
1585233517, 1, 7, 53, 33, 0, 16.65%, 2, 0, 3, 101.02
1585233523, 1, 9, 54, 34, 0, 16.65%, 2, 0, 3, 98.91
1585233533, 1, 10, 54, 34, 0, 16.65%, 2, 0, 3, 109.36
1585233538, 1, 11, 54, 34, 0, 16.65%, 3, 0, 3, 100.93
1585233548, 1, 12, 54, 34, 0, 16.65%, 3, 0, 3, 121.85
1585233553, 1, 13, 54, 34, 0, 16.65%, 3, 0, 3, 107.93
1585233558, 1, 14, 54, 34, 0, 16.65%, 3, 0, 3, 87.67
1585233574, 1, 15, 54, 33, 0, 16.65%, 3, 0, 3, 101.73
1585233579, 1, 18, 54, 33, 0, 16.65%, 3, 0, 3, 90.78
1585233589, 1, 19, 54, 33, 0, 16.65%, 3, 0, 3, 79.20
1585233600, 1, 22, 54, 33, 0, 16.65%, 3, 0, 3, 74.63
1585233615, 1, 27, 54, 32, 0, 16.65%, 3, 0, 3, 77.84
1585233630, 1, 28, 54, 32, 0, 16.65%, 3, 0, 3, 175.93
1585233635, 1, 29, 54, 31, 0, 16.65%, 3, 0, 3, 90.65
1585233646, 1, 32, 54, 31, 0, 16.65%, 3, 0, 3, 94.00
1585233656, 1, 33, 54, 30, 0, 16.65%, 3, 0, 3, 77.75
1585233671, 1, 35, 54, 29, 0, 16.65%, 3, 0, 3, 104.18
1585233681, 1, 36, 54, 28, 0, 16.65%, 3, 0, 3, 84.92
1585233686, 1, 39, 54, 28, 0, 16.65%, 3, 0, 3, 87.70
1585233692, 1, 40, 54, 27, 0, 16.65%, 3, 0, 3, 105.60
1585233712, 1, 43, 54, 26, 0, 16.65%, 3, 0, 3, 87.76
1585233717, 1, 44, 54, 26, 0, 16.65%, 3, 0, 3, 99.07
1585233722, 1, 45, 54, 26, 0, 16.65%, 3, 0, 3, 109.93
1585233727, 1, 45, 55, 27, 0, 16.65%, 3, 0, 4, 94.16
1585233733, 1, 50, 55, 27, 0, 16.65%, 3, 0, 4, 84.42
1585233743, 1, 52, 55, 26, 0, 16.65%, 3, 0, 4, 75.38
1585233758, 2, 0, 55, 25, 0, 16.65%, 3, 0, 4, 143.32
1585233773, 2, 1, 55, 25, 0, 16.65%, 3, 0, 4, 218.01
1585233789, 2, 4, 55, 25, 0, 16.65%, 3, 0, 4, 130.14
1585233794, 2, 5, 55, 25, 0, 16.65%, 3, 0, 4, 94.67
1585233804, 2, 7, 64, 34, 0, 16.65%, 3, 0, 4, 125.95
1585233809, 2, 7, 74, 44, 0, 16.65%, 3, 0, 4, 145.61
1585233814, 2, 7, 77, 47, 0, 16.65%, 3, 0, 4, 144.43
1585233819, 2, 7, 81, 51, 0, 16.65%, 3, 0, 4, 136.54
1585233824, 2, 7, 84, 54, 0, 16.65%, 3, 0, 4, 141.78
1585233830, 2, 7, 86, 56, 0, 16.65%, 3, 0, 4, 153.17
1585233835, 2, 7, 87, 57, 0, 16.65%, 3, 0, 4, 155.28
1585233845, 2, 7, 89, 59, 0, 16.65%, 3, 0, 4, 147.26
1585233850, 2, 7, 91, 61, 0, 16.65%, 3, 0, 4, 144.70
1585233855, 2, 7, 93, 63, 0, 16.65%, 3, 0, 4, 144.39
1585233860, 2, 7, 98, 68, 0, 16.65%, 3, 0, 4, 106.58
1585233865, 2, 7, 100, 70, 0, 16.65%, 3, 0, 4, 74.71
1585233870, 2, 7, 102, 72, 0, 16.65%, 3, 0, 4, 71.02
1585233880, 2, 7, 107, 77, 0, 16.65%, 3, 0, 4, 64.37
1585233886, 2, 7, 108, 78, 0, 16.65%, 3, 0, 4, 55.27
1585233896, 2, 7, 109, 79, 0, 16.65%, 3, 0, 4, 52.73
1585233901, 2, 68, 109, 79, 1, 16.65%, 3, 0, 4, 104.53
1585233906, 2, 68, 111, 81, 1, 16.65%, 3, 0, 4, 190.21
1585233916, 2, 68, 112, 82, 1, 16.65%, 3, 0, 4, 155.63
1585233921, 2, 68, 115, 85, 1, 16.65%, 3, 0, 4, 156.05
1585233926, 2, 68, 116, 86, 1, 16.65%, 3, 0, 4, 154.12
1585233931, 2, 68, 118, 88, 1, 16.65%, 3, 0, 4, 154.77
1585233936, 2, 68, 119, 89, 1, 16.65%, 3, 0, 4, 160.94
1585233941, 2, 68, 120, 90, 1, 16.65%, 3, 0, 4, 161.52
1585233952, 2, 68, 124, 94, 1, 16.65%, 3, 0, 4, 94.69
1585233957, 2, 68, 125, 95, 1, 16.65%, 3, 0, 4, 108.04
1585233977, 2, 76, 125, 94, 0, 16.65%, 3, 0, 4, 99.42
1585234013, 2, 85, 125, 93, 0, 16.65%, 3, 0, 4, 58.03
1585234048, 2, 86, 125, 92, 0, 16.65%, 3, 0, 4, 192.83
1585234054, 2, 86, 126, 93, 0, 16.65%, 3, 0, 4, 188.99
1585234059, 2, 86, 127, 94, 0, 16.65%, 3, 0, 4, 161.22
1585234074, 2, 86, 128, 95, 0, 16.65%, 3, 0, 4, 153.36
1585234084, 2, 86, 129, 96, 0, 16.65%, 3, 0, 4, 145.81
1585234099, 2, 86, 134, 101, 0, 16.65%, 3, 0, 4, 89.02
1585234105, 2, 86, 135, 102, 0, 16.65%, 3, 0, 4, 70.81
1585234115, 2, 86, 142, 109, 0, 16.65%, 3, 0, 4, 83.51
1585234130, 2, 86, 143, 110, 0, 16.65%, 3, 0, 4, 97.31
1585234135, 2, 86, 144, 111, 0, 16.65%, 3, 0, 4, 65.20
1585234146, 2, 91, 144, 110, 0, 16.65%, 3, 0, 4, 70.77
1585234161, 2, 91, 145, 111, 0, 16.65%, 3, 0, 4, 57.64
1585234176, 2, 92, 145, 110, 0, 16.65%, 3, 0, 4, 117.33
1585234196, 2, 92, 146, 111, 0, 16.65%, 3, 0, 4, 86.00
1585234207, 2, 96, 146, 110, 0, 16.65%, 3, 0, 4, 104.49
1585234227, 2, 96, 147, 111, 0, 16.65%, 3, 0, 4, 72.30
1585234237, 2, 97, 147, 110, 0, 16.65%, 3, 0, 4, 70.71
