# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585233041, 0, 0, 1, 1, 1, 14.54%, 0, 0, 1, 235.29
1585233046, 0, 0, 6, 6, 1, 15.50%, 0, 0, 2, 321.79
1585233051, 0, 0, 11, 11, 1, 16.65%, 0, 0, 2, 312.29
1585233056, 0, 0, 13, 13, 1, 16.65%, 0, 0, 2, 343.60
1585233102, 0, 0, 14, 14, 1, 16.65%, 0, 0, 2, 274.79
1585233112, 0, 0, 14, 14, 1, 16.65%, 1, 0, 2, 273.60
1585233214, 0, 0, 15, 15, 1, 16.65%, 1, 0, 2, 249.98
1585233235, 0, 0, 29, 29, 1, 16.65%, 1, 0, 2, 166.25
1585233240, 0, 0, 33, 33, 1, 16.65%, 1, 0, 2, 151.48
1585233245, 0, 0, 34, 34, 1, 16.65%, 2, 0, 2, 156.81
1585233250, 0, 0, 35, 35, 1, 16.65%, 2, 0, 2, 168.20
1585233255, 0, 0, 37, 37, 1, 16.65%, 3, 0, 2, 176.97
1585233265, 0, 0, 38, 38, 1, 16.65%, 3, 0, 2, 172.85
1585233285, 0, 0, 39, 39, 1, 16.65%, 3, 0, 2, 172.31
1585233295, 0, 0, 41, 41, 1, 16.65%, 3, 0, 2, 168.63
1585233300, 0, 0, 42, 42, 1, 16.65%, 3, 0, 2, 166.49
1585233306, 0, 0, 43, 43, 1, 16.65%, 3, 0, 2, 165.39
1585233311, 0, 0, 44, 44, 1, 16.65%, 3, 0, 2, 155.85
1585233326, 0, 0, 45, 45, 1, 16.65%, 3, 0, 2, 178.54
1585233336, 0, 0, 45, 45, 1, 16.65%, 4, 0, 2, 182.94
1585233392, 0, 0, 46, 46, 1, 16.65%, 4, 0, 2, 164.36
1585233428, 0, 1, 46, 45, 18, 16.65%, 4, 0, 2, 108.70
1585233757, 0, 1, 46, 45, 18, 16.65%, 5, 0, 2, 70.40
1585234105, 0, 2, 46, 44, 17, 16.65%, 5, 0, 2, 72.13
1585234439, 0, 2, 46, 44, 17, 16.65%, 6, 0, 2, 67.26
1585234793, 0, 3, 46, 43, 16, 16.65%, 6, 0, 2, 80.23
1585235132, 0, 3, 46, 43, 16, 16.65%, 7, 0, 2, 64.91
1585235523, 0, 5, 46, 42, 15, 16.65%, 7, 0, 2, 80.22
1585235855, 0, 5, 46, 42, 15, 16.65%, 8, 0, 2, 68.61
1585236199, 0, 5, 47, 43, 15, 16.65%, 8, 0, 3, 81.81
1585236215, 0, 6, 47, 42, 14, 16.65%, 8, 0, 3, 105.64
1585236537, 0, 6, 47, 42, 14, 16.65%, 9, 0, 3, 68.19
1585236881, 0, 7, 47, 41, 13, 16.65%, 9, 0, 3, 103.83
1585237215, 0, 7, 47, 41, 13, 16.65%, 10, 0, 3, 69.14
1585237594, 0, 9, 47, 40, 12, 16.65%, 10, 0, 3, 114.44
1585237919, 0, 9, 47, 40, 12, 16.65%, 11, 0, 3, 67.75
1585238258, 0, 9, 48, 41, 12, 16.65%, 11, 0, 3, 101.32
1585238273, 0, 10, 48, 40, 11, 16.65%, 11, 0, 3, 105.81
1585238607, 0, 10, 48, 40, 11, 16.65%, 12, 0, 3, 71.80
1585238961, 0, 13, 48, 39, 10, 16.65%, 12, 0, 3, 294.36
1585239027, 0, 13, 48, 39, 10, 16.65%, 13, 0, 3, 290.98
1585239165, 0, 15, 48, 38, 9, 16.65%, 13, 0, 3, 194.77
1585239469, 0, 17, 48, 37, 8, 16.65%, 13, 0, 3, 321.71
1585239581, 0, 18, 48, 36, 7, 16.65%, 13, 0, 3, 175.73
1585239894, 0, 18, 49, 37, 7, 34.71%, 13, 0, 3, 129.02
1585239904, 0, 20, 49, 36, 7, 34.71%, 13, 0, 3, 188.16
1585240217, 0, 21, 49, 35, 6, 34.71%, 13, 0, 3, 171.57
1585240222, 0, 22, 49, 34, 5, 34.71%, 13, 0, 3, 254.59
1585240530, 0, 24, 49, 33, 4, 34.71%, 13, 0, 3, 106.93
1585240859, 0, 25, 49, 32, 3, 34.71%, 13, 0, 3, 95.11
1585241287, 0, 36, 49, 31, 2, 34.71%, 13, 0, 3, 118.09
1585241995, 0, 48, 52, 33, 1, 34.88%, 13, 0, 4, 218.56
1585242005, 0, 48, 53, 34, 1, 34.88%, 13, 0, 4, 264.34
1585242036, 0, 48, 54, 35, 1, 35.16%, 13, 0, 4, 260.47
1585242041, 0, 48, 55, 36, 1, 35.45%, 13, 0, 4, 227.40
1585242066, 0, 48, 56, 37, 1, 35.70%, 13, 0, 4, 54.67
1585242087, 0, 48, 57, 38, 1, 35.97%, 13, 0, 4, 144.01
1585242102, 0, 48, 58, 39, 1, 36.24%, 13, 0, 4, 45.94
1585242107, 0, 48, 59, 40, 1, 36.52%, 13, 0, 4, 45.92
1585242112, 0, 48, 63, 44, 1, 36.80%, 14, 0, 4, 244.82
1585242118, 0, 48, 64, 45, 1, 37.04%, 14, 0, 4, 219.33
1585242123, 0, 48, 66, 47, 1, 37.04%, 14, 0, 4, 159.24
1585242138, 0, 48, 68, 49, 1, 37.04%, 16, 0, 4, 183.06
1585242143, 0, 48, 68, 49, 1, 37.04%, 19, 0, 4, 170.01
1585242148, 0, 48, 69, 50, 1, 37.04%, 22, 0, 4, 183.75
1585242153, 0, 48, 70, 51, 1, 37.04%, 22, 0, 4, 181.06
1585242169, 0, 48, 70, 51, 1, 37.04%, 23, 0, 4, 182.41
1585242174, 0, 48, 70, 51, 1, 37.04%, 24, 0, 4, 189.48
1585242179, 0, 48, 70, 51, 1, 37.04%, 26, 0, 4, 191.12
1585242189, 0, 48, 70, 51, 1, 37.04%, 27, 0, 4, 184.52
1585242199, 0, 48, 71, 52, 1, 37.04%, 27, 0, 4, 187.28
1585242204, 0, 48, 71, 52, 1, 37.04%, 28, 0, 4, 188.43
1585242209, 0, 48, 71, 52, 1, 37.04%, 30, 0, 4, 186.89
1585242260, 0, 48, 72, 53, 1, 37.04%, 31, 0, 4, 182.81
1585242271, 0, 49, 72, 52, 11, 37.04%, 31, 0, 4, 266.72
1585242419, 0, 49, 73, 53, 11, 37.04%, 31, 0, 5, 183.36
1585242465, 0, 49, 73, 53, 11, 37.04%, 32, 0, 5, 186.51
1585242475, 0, 49, 74, 54, 11, 37.95%, 32, 0, 5, 183.14
1585242505, 0, 53, 74, 53, 11, 37.95%, 32, 0, 5, 110.50
1585242510, 0, 54, 74, 52, 10, 37.95%, 32, 0, 5, 96.61
1585242526, 0, 55, 74, 51, 9, 37.95%, 32, 0, 5, 51.76
1585242608, 0, 56, 74, 50, 8, 37.95%, 32, 0, 5, 47.46
1585242649, 0, 57, 74, 49, 7, 37.95%, 32, 0, 5, 46.01
1585242654, 0, 58, 74, 48, 6, 37.95%, 32, 0, 5, 48.32
1585242675, 0, 63, 74, 47, 5, 37.95%, 32, 0, 5, 51.58
1585242876, 0, 69, 74, 46, 4, 37.95%, 32, 0, 5, 67.99
1585242886, 0, 69, 75, 47, 4, 37.99%, 32, 0, 5, 68.88
1585243163, 0, 70, 75, 46, 4, 37.99%, 32, 0, 5, 317.03
1585243199, 0, 70, 76, 47, 4, 38.02%, 32, 0, 5, 243.93
1585243209, 0, 70, 77, 48, 4, 38.02%, 32, 0, 5, 211.18
1585243296, 0, 70, 77, 48, 4, 38.02%, 33, 0, 5, 191.63
1585243301, 0, 70, 77, 48, 4, 38.02%, 34, 0, 5, 163.02
1585243317, 0, 70, 78, 49, 4, 38.02%, 34, 0, 5, 170.32
1585243373, 0, 70, 79, 50, 4, 38.02%, 34, 0, 5, 173.21
1585243403, 0, 72, 79, 49, 6, 38.02%, 34, 0, 5, 162.16
1585243567, 0, 73, 80, 49, 5, 38.06%, 34, 0, 6, 282.90
1585243603, 0, 73, 82, 51, 5, 38.06%, 34, 0, 6, 223.12
1585243619, 0, 73, 83, 52, 5, 38.06%, 34, 0, 6, 245.16
1585243624, 0, 73, 84, 53, 5, 38.06%, 34, 0, 6, 257.58
1585243629, 0, 73, 85, 54, 5, 38.06%, 34, 0, 6, 45.64
1585243644, 0, 73, 86, 55, 5, 38.06%, 34, 0, 6, 99.25
1585243690, 0, 73, 87, 56, 5, 38.06%, 34, 0, 6, 196.64
1585243741, 0, 74, 87, 55, 9, 38.06%, 34, 0, 6, 137.00
1585244008, 0, 75, 88, 55, 8, 38.11%, 34, 0, 6, 171.42
1585244201, 0, 75, 88, 55, 8, 38.11%, 35, 0, 6, 106.72
1585244258, 0, 75, 88, 55, 8, 38.11%, 37, 0, 6, 137.48
1585244273, 0, 77, 88, 54, 8, 38.11%, 37, 0, 6, 195.58
1585244359, 0, 78, 88, 53, 7, 38.11%, 37, 0, 6, 344.52
1585244457, 0, 78, 89, 54, 7, 38.11%, 38, 0, 6, 240.65
1585244467, 0, 78, 90, 55, 7, 38.11%, 38, 0, 6, 175.99
1585244523, 0, 78, 90, 55, 7, 38.11%, 39, 0, 6, 148.52
1585244528, 0, 79, 90, 54, 6, 38.11%, 39, 0, 6, 131.53
1585244803, 0, 80, 90, 53, 5, 38.11%, 39, 0, 6, 106.80
1585244833, 0, 82, 90, 52, 4, 38.11%, 39, 0, 6, 52.67
1585244844, 0, 83, 90, 51, 3, 38.11%, 39, 0, 6, 46.51
1585244859, 0, 87, 90, 50, 2, 38.11%, 39, 0, 6, 46.28
1585245079, 0, 89, 90, 49, 1, 38.11%, 39, 0, 6, 46.55
1585245115, 1, 1, 90, 48, 0, 38.11%, 39, 0, 6, 57.17
1585245120, 1, 2, 90, 48, 0, 38.11%, 39, 0, 6, 74.11
1585245126, 1, 4, 90, 48, 0, 38.11%, 39, 0, 6, 217.91
1585245324, 1, 4, 92, 50, 0, 38.11%, 39, 0, 6, 180.62
1585245365, 1, 5, 92, 49, 0, 38.11%, 39, 0, 6, 180.28
1585245370, 1, 7, 92, 49, 0, 38.11%, 39, 0, 6, 125.61
1585245376, 1, 10, 92, 49, 0, 38.11%, 39, 0, 6, 118.24
1585245381, 1, 11, 92, 49, 0, 38.11%, 39, 0, 6, 293.02
1585245589, 1, 13, 94, 50, 0, 38.11%, 39, 0, 6, 182.54
1585245599, 1, 13, 95, 51, 0, 38.11%, 39, 0, 6, 199.43
1585245620, 1, 22, 95, 51, 0, 38.11%, 39, 0, 6, 217.47
1585245625, 1, 37, 95, 51, 0, 38.11%, 39, 0, 6, 123.50
1585245670, 1, 37, 96, 52, 0, 38.11%, 39, 0, 6, 70.59
1585246322, 1, 43, 96, 51, 0, 38.11%, 39, 0, 6, 60.13
1585247409, 1, 44, 96, 50, 0, 38.11%, 39, 0, 6, 57.10
1585247537, 1, 44, 97, 51, 0, 38.11%, 39, 0, 6, 49.55
1585248372, 1, 49, 97, 50, 0, 38.11%, 39, 0, 6, 125.69
1585248382, 1, 51, 97, 50, 0, 38.11%, 39, 0, 6, 166.29
1585248546, 1, 51, 98, 51, 0, 38.11%, 39, 0, 6, 165.89
1585248582, 1, 51, 99, 52, 0, 38.11%, 39, 0, 6, 154.36
1585248643, 1, 54, 100, 52, 0, 38.11%, 39, 0, 6, 145.00
1585248653, 1, 57, 100, 52, 0, 38.11%, 39, 0, 6, 105.92
1585248658, 1, 62, 100, 52, 0, 38.11%, 39, 0, 6, 75.83
1585248715, 1, 63, 100, 51, 0, 38.11%, 39, 0, 6, 75.29
1585248720, 1, 67, 100, 51, 0, 38.11%, 39, 0, 6, 189.97
