# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315079, 0, 0, 1, 1, 1, 4.74%, 0, 0, 1, 347.83
1585315084, 0, 0, 5, 5, 1, 4.80%, 0, 0, 2, 435.09
1585315089, 0, 0, 6, 6, 1, 4.80%, 0, 0, 2, 497.92
1585315099, 0, 5, 6, 4, 1, 4.80%, 0, 0, 2, 474.92
1585315104, 1, 1, 7, 3, 1, 4.80%, 0, 0, 3, 429.97
1585315109, 1, 4, 7, 0, 0, 4.80%, 0, 0, 3, 499.48
1585315114, 2, 0, 7, 0, 0, 4.80%, 0, 0, 3, 478.74
1585315119, 2, 5, 7, 0, 0, 4.80%, 0, 0, 3, 476.11
1585315124, 3, 1, 7, 0, 0, 4.80%, 0, 0, 3, 504.49
1585315129, 3, 6, 7, 0, 0, 4.80%, 0, 0, 3, 506.32
1585315134, 4, 2, 7, 0, 0, 4.80%, 0, 0, 3, 460.43
1585315140, 4, 6, 7, 0, 0, 4.80%, 0, 0, 3, 514.51
1585315145, 5, 3, 7, 0, 0, 4.80%, 0, 0, 3, 510.60
1585315150, 5, 7, 23, 16, 1, 12.54%, 0, 0, 4, 478.28
1585315155, 5, 7, 25, 18, 1, 12.54%, 0, 0, 4, 482.40
1585315160, 5, 7, 29, 22, 1, 12.54%, 0, 0, 4, 492.10
1585315165, 5, 7, 30, 23, 1, 12.54%, 0, 0, 4, 418.58
1585315170, 5, 12, 30, 22, 4, 12.54%, 0, 0, 4, 431.71
1585315175, 5, 12, 31, 23, 4, 12.54%, 0, 0, 5, 466.44
1585315180, 5, 12, 33, 25, 4, 12.54%, 0, 0, 5, 432.61
1585315185, 5, 18, 33, 24, 4, 12.54%, 0, 0, 5, 471.29
1585315201, 5, 28, 33, 23, 2, 12.54%, 0, 0, 5, 477.74
1585315211, 5, 30, 33, 22, 1, 12.54%, 0, 0, 5, 467.82
1585315226, 5, 32, 33, 21, 0, 12.54%, 0, 0, 5, 466.94
1585315231, 5, 32, 34, 22, 0, 13.88%, 0, 0, 6, 487.32
1585315236, 5, 33, 34, 21, 1, 13.88%, 0, 0, 6, 465.41
1585315246, 5, 33, 35, 22, 1, 13.88%, 0, 0, 7, 398.94
1585315251, 6, 4, 35, 21, 0, 13.88%, 0, 0, 7, 403.83
1585315256, 6, 8, 35, 21, 0, 13.88%, 0, 0, 7, 462.38
1585315267, 6, 10, 35, 20, 0, 13.88%, 0, 0, 7, 472.52
1585315277, 6, 18, 35, 19, 0, 13.88%, 0, 0, 7, 463.30
1585315287, 6, 25, 35, 19, 0, 13.88%, 0, 0, 7, 492.94
1585315297, 6, 27, 35, 18, 0, 13.88%, 0, 0, 7, 440.86
1585315303, 6, 27, 36, 19, 0, 13.88%, 0, 0, 7, 464.90
1585315313, 6, 35, 36, 18, 1, 13.88%, 0, 0, 7, 458.52
1585315318, 6, 35, 39, 21, 1, 13.88%, 0, 0, 7, 452.91
1585315343, 6, 36, 40, 21, 2, 13.88%, 0, 0, 7, 437.51
1585315359, 6, 37, 40, 20, 1, 13.88%, 0, 0, 7, 440.68
1585315364, 6, 37, 41, 21, 1, 13.88%, 0, 0, 7, 380.85
1585315369, 6, 37, 43, 23, 1, 13.89%, 0, 0, 7, 366.10
1585315389, 6, 38, 43, 22, 1, 13.89%, 0, 0, 7, 438.87
1585315405, 6, 41, 43, 21, 1, 13.89%, 0, 0, 7, 452.00
1585315420, 6, 42, 45, 22, 0, 13.89%, 0, 0, 8, 446.26
1585315445, 6, 44, 45, 21, 1, 13.89%, 0, 0, 8, 441.65
1585315466, 7, 8, 45, 20, 0, 13.89%, 0, 0, 8, 473.72
1585315471, 7, 45, 46, 21, 1, 13.89%, 0, 0, 8, 465.04
1585315476, 7, 45, 47, 22, 1, 13.89%, 0, 0, 8, 478.70
1585315486, 7, 46, 47, 21, 0, 13.89%, 0, 0, 8, 459.86
1585315501, 8, 10, 47, 20, 0, 13.89%, 0, 0, 8, 470.65
1585315506, 8, 11, 47, 20, 0, 13.89%, 0, 0, 8, 507.92
1585315521, 8, 16, 47, 19, 0, 13.89%, 0, 0, 8, 510.66
1585315532, 8, 17, 47, 18, 0, 13.89%, 0, 0, 8, 520.49
1585315542, 8, 18, 47, 17, 0, 13.89%, 0, 0, 8, 448.36
1585315547, 8, 22, 47, 17, 0, 13.89%, 0, 0, 8, 490.71
1585315552, 8, 22, 48, 18, 0, 13.89%, 0, 0, 8, 478.83
1585315557, 8, 47, 48, 17, 1, 13.89%, 0, 0, 8, 409.69
1585315563, 8, 47, 49, 18, 1, 13.89%, 0, 0, 8, 378.56
1585315578, 9, 9, 49, 17, 0, 13.89%, 0, 0, 8, 515.76
1585315593, 9, 10, 49, 16, 0, 13.89%, 0, 0, 8, 407.98
1585315598, 9, 13, 49, 16, 0, 13.89%, 0, 0, 8, 403.30
1585315613, 9, 15, 49, 15, 0, 13.89%, 0, 0, 8, 462.22
1585315629, 9, 21, 49, 14, 0, 13.89%, 0, 0, 8, 458.48
1585315639, 9, 21, 50, 15, 0, 13.89%, 0, 0, 8, 478.60
1585315644, 9, 25, 50, 14, 0, 13.89%, 0, 0, 8, 456.56
1585315649, 9, 28, 50, 14, 0, 13.89%, 0, 0, 8, 468.26
1585315654, 9, 29, 50, 14, 0, 13.89%, 0, 0, 8, 427.48
1585315670, 9, 30, 50, 13, 0, 13.89%, 0, 0, 8, 424.38
1585315680, 9, 33, 66, 29, 0, 13.90%, 0, 0, 8, 475.05
1585315685, 9, 51, 69, 32, 1, 13.90%, 0, 0, 8, 448.47
1585315690, 9, 51, 73, 36, 1, 13.90%, 0, 0, 8, 392.22
1585315695, 9, 51, 79, 42, 1, 13.90%, 0, 0, 8, 374.51
1585315715, 9, 51, 80, 43, 1, 13.90%, 0, 0, 8, 333.79
1585315720, 9, 51, 81, 44, 1, 13.90%, 0, 0, 8, 327.26
1585315725, 9, 64, 81, 43, 0, 13.90%, 0, 0, 8, 389.82
1585315736, 9, 67, 81, 42, 0, 13.90%, 0, 0, 8, 279.32
1585315746, 9, 67, 82, 43, 0, 13.90%, 0, 0, 8, 237.43
1585315766, 9, 74, 82, 42, 0, 13.90%, 0, 0, 8, 335.86
1585315787, 9, 75, 82, 41, 0, 13.90%, 0, 0, 8, 410.30
1585315807, 9, 75, 83, 42, 0, 13.90%, 0, 0, 9, 400.77
1585315812, 9, 79, 83, 41, 0, 13.90%, 0, 0, 9, 443.38
1585315823, 9, 79, 84, 42, 0, 13.90%, 0, 0, 9, 200.49
1585315833, 9, 79, 85, 43, 0, 13.90%, 0, 0, 9, 205.82
1585315858, 10, 7, 85, 42, 0, 13.90%, 0, 0, 9, 414.74
1585315863, 10, 15, 85, 42, 0, 13.90%, 0, 0, 9, 445.31
1585315868, 10, 18, 85, 42, 0, 13.90%, 0, 0, 9, 456.71
1585315873, 10, 21, 85, 42, 0, 13.90%, 0, 0, 9, 437.98
1585315879, 10, 28, 85, 42, 0, 13.90%, 0, 0, 9, 404.20
1585315884, 10, 33, 85, 42, 0, 13.90%, 0, 0, 9, 385.86
1585315889, 10, 39, 85, 42, 0, 13.90%, 0, 0, 9, 440.88
1585315899, 10, 39, 86, 43, 0, 13.90%, 0, 0, 9, 437.19
1585315904, 10, 41, 86, 42, 0, 13.90%, 0, 0, 9, 426.74
1585315914, 10, 44, 86, 42, 0, 13.90%, 0, 0, 9, 409.83
1585315919, 10, 44, 87, 43, 0, 13.90%, 0, 0, 9, 454.56
1585315924, 10, 45, 87, 43, 0, 13.90%, 0, 0, 9, 379.95
1585315929, 10, 47, 87, 43, 0, 13.90%, 0, 0, 9, 378.97
1585315945, 10, 51, 90, 46, 0, 13.90%, 0, 0, 9, 371.82
1585315955, 10, 51, 91, 47, 0, 13.90%, 0, 0, 9, 373.58
1585315960, 10, 90, 91, 47, 1, 13.90%, 0, 0, 9, 385.52
1585315976, 10, 90, 92, 48, 1, 13.90%, 0, 0, 9, 423.27
1585315981, 10, 91, 92, 47, 0, 13.90%, 0, 0, 9, 404.42
