# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315068, 0, 0, 1, 1, 1, 4.74%, 0, 0, 1, 363.64
1585315073, 0, 0, 2, 2, 1, 4.74%, 0, 0, 2, 487.11
1585315079, 0, 0, 3, 3, 1, 4.74%, 0, 0, 2, 532.08
1585315109, 0, 0, 4, 4, 1, 4.74%, 0, 0, 2, 485.28
1585315115, 0, 0, 5, 5, 1, 9.89%, 0, 0, 2, 485.13
1585315125, 0, 0, 10, 10, 1, 12.53%, 0, 0, 2, 468.27
1585315191, 0, 2, 10, 9, 5, 12.53%, 0, 0, 2, 525.24
1585315248, 0, 4, 10, 8, 4, 12.53%, 0, 0, 2, 494.78
1585315258, 0, 4, 12, 10, 4, 12.53%, 0, 0, 3, 471.11
1585315268, 0, 4, 14, 12, 4, 12.53%, 0, 0, 3, 443.11
1585315293, 0, 4, 17, 15, 4, 12.53%, 0, 0, 3, 467.15
1585315319, 0, 4, 19, 17, 4, 12.54%, 0, 0, 3, 507.45
1585315324, 0, 4, 23, 21, 4, 12.54%, 0, 0, 3, 501.62
1585315339, 0, 4, 24, 22, 4, 12.54%, 0, 0, 3, 501.52
1585315349, 0, 4, 25, 23, 4, 12.54%, 0, 0, 3, 506.28
1585315364, 0, 8, 25, 22, 5, 12.54%, 0, 0, 3, 407.37
1585315400, 0, 11, 25, 20, 3, 12.54%, 0, 0, 3, 488.48
1585315472, 0, 23, 25, 19, 2, 12.54%, 0, 0, 3, 477.04
1585315533, 0, 23, 26, 20, 2, 12.54%, 0, 0, 4, 496.54
1585315538, 0, 24, 26, 19, 2, 12.54%, 0, 0, 4, 456.45
1585315568, 0, 24, 27, 20, 2, 12.55%, 0, 0, 4, 426.92
1585315609, 0, 25, 27, 19, 2, 12.55%, 0, 0, 4, 380.50
1585315681, 0, 26, 28, 19, 1, 12.55%, 0, 0, 5, 491.74
1585315686, 0, 26, 29, 20, 1, 12.55%, 0, 0, 5, 454.12
1585315691, 0, 26, 30, 21, 1, 12.55%, 0, 0, 5, 461.90
1585315757, 0, 26, 31, 22, 1, 12.55%, 0, 0, 5, 484.93
1585315762, 0, 26, 32, 23, 1, 12.55%, 0, 0, 5, 489.86
1585315767, 0, 26, 33, 24, 1, 12.55%, 0, 0, 5, 467.52
1585315782, 0, 26, 34, 25, 1, 12.55%, 0, 0, 5, 493.26
1585315787, 0, 26, 35, 26, 1, 12.55%, 0, 0, 5, 493.38
1585315792, 0, 26, 36, 27, 1, 13.88%, 0, 0, 5, 496.44
1585315818, 0, 26, 37, 28, 1, 13.89%, 0, 0, 5, 486.08
1585315823, 0, 31, 37, 27, 5, 13.89%, 0, 0, 5, 485.61
1585315849, 0, 31, 38, 28, 5, 13.89%, 0, 0, 6, 467.86
1585315869, 0, 32, 38, 27, 4, 13.89%, 0, 0, 6, 489.71
1585315904, 0, 33, 38, 26, 3, 13.89%, 0, 0, 6, 484.24
1585315996, 0, 36, 38, 25, 2, 13.89%, 0, 0, 6, 465.21
1585316072, 0, 37, 38, 24, 1, 13.89%, 0, 0, 6, 432.91
