# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315081, 0, 0, 1, 1, 1, 3.70%, 0, 0, 1, 1000.00
1585315086, 1, 1, 5, 2, 0, 3.70%, 0, 0, 2, 1335.41
1585315091, 3, 4, 5, 0, 0, 3.70%, 0, 0, 2, 1520.86
1585315096, 6, 3, 5, 0, 0, 3.70%, 0, 0, 2, 1564.92
1585315101, 8, 5, 20, 15, 1, 8.61%, 0, 0, 4, 1519.84
1585315106, 8, 16, 22, 16, 4, 9.56%, 0, 0, 4, 1426.47
1585315112, 8, 17, 25, 18, 4, 9.56%, 0, 0, 5, 1419.03
1585315117, 8, 20, 25, 17, 3, 9.56%, 0, 0, 5, 1342.17
1585315122, 8, 23, 25, 16, 2, 9.56%, 0, 0, 5, 1414.57
1585315127, 8, 24, 26, 16, 1, 9.56%, 0, 0, 6, 1291.85
1585315132, 9, 14, 27, 16, 0, 9.56%, 0, 0, 6, 1493.05
1585315137, 9, 27, 30, 18, 2, 9.57%, 0, 0, 6, 1387.53
1585315142, 9, 28, 30, 17, 1, 9.57%, 0, 0, 6, 1336.03
1585315147, 9, 28, 31, 18, 1, 9.57%, 0, 0, 6, 1257.80
1585315152, 10, 16, 32, 18, 0, 9.57%, 0, 0, 6, 1419.57
1585315157, 10, 20, 32, 18, 0, 9.57%, 0, 0, 6, 1452.79
1585315162, 10, 22, 33, 19, 0, 9.57%, 0, 0, 6, 1545.67
1585315167, 10, 23, 34, 19, 0, 9.57%, 0, 0, 6, 1491.15
1585315172, 10, 24, 34, 19, 0, 9.57%, 0, 0, 6, 1447.39
1585315178, 10, 26, 34, 19, 0, 9.57%, 0, 0, 6, 1411.24
1585315183, 10, 28, 34, 18, 0, 9.57%, 0, 0, 6, 1421.80
1585315188, 10, 29, 34, 18, 0, 9.57%, 0, 0, 6, 1405.96
1585315193, 10, 32, 34, 17, 0, 9.57%, 0, 0, 6, 1381.38
1585315198, 11, 7, 35, 17, 0, 9.57%, 0, 0, 6, 1421.51
1585315203, 11, 11, 35, 16, 0, 9.57%, 0, 0, 6, 1420.61
1585315208, 11, 16, 35, 14, 0, 9.57%, 0, 0, 6, 1472.92
1585315213, 11, 27, 35, 14, 0, 9.57%, 0, 0, 6, 1405.34
1585315218, 11, 33, 36, 15, 0, 9.57%, 0, 0, 7, 1391.35
1585315224, 12, 8, 36, 14, 0, 9.57%, 0, 0, 7, 1479.69
1585315229, 12, 12, 36, 13, 0, 9.57%, 0, 0, 7, 1379.23
1585315234, 12, 19, 36, 12, 0, 9.57%, 0, 0, 7, 1413.54
1585315239, 12, 23, 36, 11, 0, 9.57%, 0, 0, 7, 1394.24
