# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1585315066, 0, 0, 1, 1, 1, 3.70%, 0, 0, 1, 888.89
1585315071, 0, 0, 3, 3, 1, 3.70%, 0, 0, 2, 1473.20
1585315082, 0, 0, 5, 5, 1, 6.86%, 0, 0, 2, 1585.21
1585315087, 0, 0, 9, 9, 1, 8.61%, 0, 0, 2, 1543.98
1585315097, 0, 2, 9, 8, 5, 8.61%, 0, 0, 2, 1436.81
1585315112, 0, 3, 9, 7, 4, 8.61%, 0, 0, 2, 1596.91
1585315132, 0, 4, 11, 8, 3, 8.61%, 0, 0, 3, 1320.83
1585315137, 0, 4, 13, 10, 3, 8.61%, 0, 0, 3, 1294.51
1585315148, 0, 4, 16, 13, 3, 8.61%, 0, 0, 3, 1255.45
1585315153, 0, 4, 17, 14, 3, 8.61%, 0, 0, 3, 1276.00
1585315158, 0, 8, 17, 12, 1, 8.61%, 0, 0, 3, 1352.39
1585315163, 0, 8, 18, 13, 1, 8.61%, 0, 0, 3, 1368.42
1585315168, 0, 8, 21, 16, 1, 8.61%, 0, 0, 3, 1430.58
1585315173, 0, 8, 23, 18, 1, 8.62%, 0, 0, 3, 1244.33
1585315183, 0, 8, 24, 19, 1, 8.62%, 0, 0, 3, 1463.79
1585315188, 0, 17, 24, 18, 2, 8.62%, 0, 0, 3, 1388.58
1585315198, 0, 17, 25, 19, 2, 9.56%, 0, 0, 4, 1263.87
1585315203, 0, 21, 25, 18, 2, 9.56%, 0, 0, 4, 1357.02
1585315218, 0, 24, 25, 17, 1, 9.56%, 0, 0, 4, 1280.46
1585315234, 0, 25, 26, 17, 1, 9.56%, 0, 0, 5, 1275.66
1585315249, 1, 1, 26, 16, 0, 9.56%, 0, 0, 5, 1434.15
1585315264, 1, 6, 26, 15, 0, 9.56%, 0, 0, 5, 1589.47
1585315284, 1, 13, 26, 14, 0, 9.56%, 0, 0, 5, 1378.14
1585315310, 1, 16, 26, 13, 0, 9.56%, 0, 0, 5, 1329.43
1585315330, 1, 19, 26, 12, 0, 9.56%, 0, 0, 5, 1395.94
1585315345, 1, 26, 27, 12, 1, 9.56%, 0, 0, 5, 1399.74
1585315355, 2, 11, 27, 11, 0, 9.56%, 0, 0, 5, 1526.87
1585315381, 2, 12, 27, 10, 0, 9.56%, 0, 0, 5, 1400.12
1585315406, 3, 28, 31, 13, 1, 9.56%, 0, 0, 5, 1331.95
1585315411, 3, 28, 32, 14, 1, 9.56%, 0, 0, 5, 1233.47
1585315431, 3, 28, 33, 15, 1, 9.57%, 0, 0, 5, 1301.84
1585315436, 3, 31, 33, 14, 2, 9.57%, 0, 0, 5, 1314.26
1585315456, 3, 31, 34, 15, 2, 9.57%, 0, 0, 5, 1257.07
1585315462, 3, 31, 35, 16, 2, 9.57%, 0, 0, 5, 1320.38
1585315467, 3, 32, 35, 15, 2, 9.57%, 0, 0, 5, 1236.27
1585315497, 3, 33, 35, 14, 1, 9.57%, 0, 0, 5, 1178.57
1585315528, 4, 25, 39, 17, 0, 9.57%, 0, 0, 6, 1432.67
1585315533, 4, 38, 39, 17, 1, 9.57%, 0, 0, 6, 1200.16
1585315564, 5, 8, 39, 16, 0, 9.57%, 0, 0, 6, 1440.49
1585315569, 5, 10, 39, 16, 0, 9.57%, 0, 0, 6, 1253.15
1585315594, 5, 14, 39, 15, 0, 9.57%, 0, 0, 6, 1262.51
1585315619, 5, 27, 40, 15, 0, 9.57%, 0, 0, 6, 1304.24
1585315650, 5, 30, 40, 14, 0, 9.57%, 0, 0, 6, 1301.90
1585315675, 5, 30, 61, 35, 0, 9.57%, 0, 0, 6, 1321.21
1585315681, 5, 30, 62, 36, 0, 9.57%, 0, 0, 6, 1399.38
1585315686, 5, 30, 63, 37, 0, 9.57%, 0, 0, 6, 1346.34
1585315691, 5, 30, 64, 38, 0, 9.57%, 0, 0, 6, 1359.82
1585315701, 5, 59, 64, 37, 1, 9.57%, 0, 0, 6, 1313.42
1585315777, 5, 62, 65, 37, 0, 9.57%, 0, 0, 6, 915.09
1585318592, 5, 62, 66, 38, 0, 9.57%, 0, 0, 6, 470.58
1585318612, 5, 64, 66, 37, 0, 9.57%, 0, 0, 6, 986.18
1585318637, 5, 64, 67, 38, 0, 9.57%, 0, 0, 7, 1407.97
1585318648, 6, 3, 67, 37, 0, 9.57%, 0, 0, 7, 1374.90
1585318653, 6, 18, 67, 37, 0, 9.57%, 0, 0, 7, 1242.25
1585318663, 6, 23, 67, 36, 0, 9.57%, 0, 0, 7, 1174.46
1585318678, 6, 26, 67, 35, 0, 9.57%, 0, 0, 7, 1150.45
1585318683, 6, 34, 68, 36, 0, 9.57%, 0, 0, 7, 1049.47
1585318714, 6, 35, 68, 35, 0, 9.57%, 0, 0, 7, 1360.50
1585318749, 6, 42, 71, 37, 1, 9.57%, 0, 0, 7, 1143.26
1585318795, 6, 63, 71, 36, 1, 9.57%, 0, 0, 7, 820.61
1585320025, 6, 70, 71, 35, 1, 9.57%, 0, 0, 7, 1012.37
1585320030, 6, 70, 72, 36, 1, 9.57%, 0, 0, 7, 1046.82
1585320096, 6, 70, 74, 38, 1, 9.57%, 0, 0, 7, 1264.53
1585320101, 6, 70, 75, 39, 1, 9.57%, 0, 0, 7, 1238.15
1585320106, 6, 70, 78, 42, 1, 9.57%, 0, 0, 7, 1218.49
1585320111, 6, 70, 79, 43, 1, 9.57%, 0, 0, 7, 1161.09
1585320126, 6, 71, 79, 42, 2, 9.57%, 0, 0, 7, 1130.64
1585320207, 6, 72, 81, 43, 1, 9.57%, 0, 0, 7, 1076.13
1585320217, 6, 72, 82, 44, 1, 9.57%, 0, 0, 7, 1145.27
1585320263, 6, 72, 83, 45, 1, 9.57%, 0, 0, 7, 1162.38
1585320278, 6, 72, 84, 46, 1, 9.57%, 0, 0, 7, 1187.48
1585320294, 6, 78, 84, 45, 1, 9.57%, 0, 0, 7, 1171.20
1585320375, 6, 80, 84, 44, 0, 9.57%, 0, 0, 7, 1089.79
1585320435, 6, 80, 85, 45, 0, 9.57%, 0, 0, 8, 1140.21
1585320441, 6, 80, 86, 46, 0, 9.57%, 0, 0, 8, 1077.39
1585320461, 6, 81, 86, 45, 0, 9.57%, 0, 0, 8, 1146.53
1585320522, 6, 81, 89, 48, 0, 9.57%, 0, 0, 8, 1018.03
1585320527, 6, 82, 91, 49, 0, 9.57%, 0, 0, 8, 874.91
1585320593, 6, 84, 91, 48, 0, 9.57%, 0, 0, 8, 1017.14
1585320674, 6, 84, 92, 49, 0, 9.57%, 0, 0, 9, 1100.39
1585320679, 6, 84, 93, 50, 0, 9.57%, 0, 0, 9, 1130.73
1585320699, 6, 91, 93, 49, 0, 9.57%, 0, 0, 9, 1177.24
1585320775, 6, 91, 94, 50, 0, 9.57%, 0, 0, 10, 1148.94
1585320780, 6, 91, 95, 51, 0, 9.57%, 0, 0, 10, 1226.08
1585320785, 6, 91, 96, 52, 0, 9.57%, 0, 0, 10, 1230.36
1585320805, 7, 5, 96, 51, 0, 9.57%, 0, 0, 10, 1335.43
1585320816, 7, 26, 100, 54, 0, 9.57%, 0, 0, 10, 1210.64
1585320821, 7, 29, 100, 54, 0, 9.57%, 0, 0, 10, 1061.53
1585320851, 7, 29, 101, 55, 0, 9.57%, 0, 0, 10, 210.92
1585320856, 7, 32, 102, 55, 0, 9.57%, 0, 0, 10, 821.37
1585320861, 7, 50, 102, 55, 0, 9.57%, 0, 0, 10, 966.40
1585320968, 7, 66, 102, 54, 0, 9.57%, 0, 0, 10, 1017.39
1585321045, 7, 68, 102, 53, 0, 9.57%, 0, 0, 10, 1059.79
1585321121, 7, 71, 102, 52, 0, 9.57%, 0, 0, 10, 1184.75
1585321126, 7, 75, 102, 52, 0, 9.57%, 0, 0, 10, 1143.24
1585321208, 7, 86, 102, 51, 0, 9.57%, 0, 0, 10, 868.16
1585329780, 7, 96, 102, 50, 0, 9.57%, 0, 0, 10, 989.36
1585329786, 7, 96, 103, 51, 0, 9.57%, 0, 0, 10, 992.46
1585329872, 7, 96, 105, 53, 0, 9.57%, 0, 0, 10, 1129.14
1585329882, 7, 96, 106, 54, 0, 9.57%, 0, 0, 10, 1154.89
1585329902, 7, 98, 106, 53, 0, 9.57%, 0, 0, 10, 968.16
1585330060, 7, 98, 108, 55, 0, 9.57%, 0, 0, 10, 1028.54
